idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;FUEN_AG_TOT;WTOTECONSUM;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
19488;2023;I1 Alojamiento;Alojamiento rural;0;534672;997;31882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14555;2023;I1 Alojamiento;Alojamiento rural;0;534672;997;31882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14120;2023;I1 Alojamiento;Otros tipos de alojamiento para visitantes;0;4236670;81854;509834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20221;2023;I1 Alojamiento;Otros tipos de alojamiento para visitantes;0;4236670;81854;509834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13564;2023;I1 Alojamiento;Servicio de estancia por horas;4942;2260455;9587;212840;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13801;2023;I1 Alojamiento;Servicio de estancia por horas;4942;2260455;9587;212840;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1
14668;2023;I1 Alojamiento;Servicio de estancia por horas;4942;2260455;9587;212840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
14399;2023;I1 Alojamiento;Alojamiento en hoteles;0;10383070;71345;97000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10400;2023;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;742015;463324584;92546;13068022;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1
13828;2023;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;742015;463324584;92546;13068022;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1
10388;2023;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;742015;463324584;92546;13068022;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1
10005;2023;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;290524;159530651;84037;5979423;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
12386;2023;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;290524;159530651;84037;5979423;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
20472;2023;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;290524;159530651;84037;5979423;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1
17696;2023;I2 Expendio de alimentos;Expendio de comidas preparadas en cafeterías;39409;75078241;16209;2460577;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;1
20337;2023;I2 Expendio de alimentos;Actividades de otros servicios de comidas;39409;75078241;16209;2460577;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1
13031;2023;I2 Expendio de alimentos;Expendio de comidas preparadas en cafeterías;39409;75078241;16209;2460577;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
