PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,20108,6209,Otras actividades de tecnologías de información y actividades de servicios informáticos,J4 Inform y serv de información,28185092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20109,5612,Expendio por autoservicio de comidas preparadas,I2 Expendio de alimentos,10125620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20110,8211,Actividades combinadas de servicios administrativos de oficina,N4 Actividades administrativas,29655468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20111,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,LN1 Inmobiliarias Y Alquileres,82175095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20112,6920,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria","M1 Actividades profesionales, científicas",43805617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20113,5511,Alojamiento en hoteles,I1 Alojamiento,1783070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20114,7210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","M1 Actividades profesionales, científicas",31643639,27558,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2021,20115,5511,Alojamiento en centros vacacionales,I1 Alojamiento,1101397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20447,5511,Alojamiento en hoteles,I1 Alojamiento,588036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20448,5511,Alojamiento en hoteles,I1 Alojamiento,1126743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
