idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
14133;2022;I1 Alojamiento;Servicio de estancia por horas;2888;1357208;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13801;2022;I1 Alojamiento;Servicio de estancia por horas;2888;1357208;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0
14399;2022;I1 Alojamiento;Alojamiento en hoteles;7589;10046723;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0
10400;2022;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;859882;377789771;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1
13828;2022;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;859882;377789771;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1
10388;2022;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;859882;377789771;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1
10005;2022;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;335893;35821281;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10396;2022;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;335893;35821281;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1
20472;2022;I2 Expendio de alimentos;Expendio por autoservicio de comidas preparadas;335893;35821281;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1
13031;2022;I2 Expendio de alimentos;Expendio de comidas preparadas en cafeterías;61783;61066780;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
17696;2022;I2 Expendio de alimentos;Expendio de comidas preparadas en cafeterías;61783;61066780;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
12973;2022;I2 Expendio de alimentos;Expendio de comidas preparadas en cafeterías;61783;61066780;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
17918;2022;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;282763;42004642;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13115;2022;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;282763;42004642;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1
20467;2022;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;282763;42004642;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21052;2022;I2 Expendio de alimentos;Catering para eventos;9133;8156807;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0
17920;2022;I2 Expendio de alimentos;Actividades de otros servicios de comidas;9133;8156807;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
15031;2022;I2 Expendio de alimentos;Catering para eventos;9133;8156807;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
13837;2022;I2 Expendio de alimentos;Actividades de otros servicios de comidas;258594;220627734;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0
15243;2022;I2 Expendio de alimentos;Actividades de otros servicios de comidas;258594;220627734;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15193;2022;I2 Expendio de alimentos;Actividades de otros servicios de comidas;258594;220627734;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
10406;2022;I2 Expendio de alimentos;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento;36024;60710422;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
14298;2022;I2 Expendio de alimentos;Organización de convenciones y eventos comerciales;36024;60710422;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1
18703;2022;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;36024;60710422;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
17776;2022;J0 Edición;Edición de libros;15751;27137634;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0
17648;2022;J0 Edición;Edición de libros;15751;27137634;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17653;2022;J0 Edición;Edición de libros;15751;27137634;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17650;2022;J0 Edición;Edición de directorios y listas de correo;0;15778526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17561;2022;J0 Edición;Edición de periódicos, revistas y otras publicaciones periódicas;109000;83650149;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
17613;2022;J0 Edición;Edición de libros;109000;83650149;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1
17607;2022;J0 Edición;Edición de periódicos, revistas y otras publicaciones periódicas;109000;83650149;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
17655;2022;J0 Edición;Edición de libros;27077;19760941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18618;2022;J0 Edición;Edición de libros;27077;19760941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19867;2022;J0 Edición;Actividades de impresión;27077;19760941;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10892;2022;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;7699;41034180;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0
11430;2022;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;7699;41034180;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
10562;2022;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;7699;41034180;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
20691;2022;J1 Producción, distribución y exhibición;Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;4804241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11231;2022;J1 Producción, distribución y exhibición;Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;4804241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19451;2022;J1 Producción, distribución y exhibición;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;260680215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11250;2022;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;0;260680215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11246;2022;J1 Producción, distribución y exhibición;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;260680215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
