Periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,GASPROGESAMB,INGREVEN,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTINV9,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB,PUEAA,SEPRRSSC,REUTRECI,TRATRECI,COMRESID,COMPMPS,intio
2019,10038,7110,7421,"M1 Actividades profesionales, científicas",12699241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,si,no,no,16555856
2019,10040,7020,7414,"M1 Actividades profesionales, científicas",127832703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,135615979
2019,10041,7820,7491,N3 Obtención y suministro de personal,5585642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5680710
2019,10043,7830,7491,N3 Obtención y suministro de personal,5907149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5963954
2019,10044,7820,7491,N3 Obtención y suministro de personal,22475868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,22961244
2019,10045,7820,7491,N3 Obtención y suministro de personal,1498847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,1301364
2019,10047,7820,7491,N3 Obtención y suministro de personal,9361713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,no,no,no,no,no,10751094
2019,10048,7820,7491,N3 Obtención y suministro de personal,16105099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,19879569
2019,10049,7820,7491,N3 Obtención y suministro de personal,30321967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,no,no,no,no,no,33431047
2019,10050,7820,7491,N3 Obtención y suministro de personal,45266868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,46222466
2019,10051,7810,7491,N3 Obtención y suministro de personal,28955140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,29925019
2019,10052,7820,7491,N3 Obtención y suministro de personal,6209168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,6286806
2019,10053,7820,7491,N3 Obtención y suministro de personal,3438187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,3509627
2019,10055,7820,7491,N3 Obtención y suministro de personal,107461771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,109889946
2019,10056,7830,7491,N3 Obtención y suministro de personal,16544928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,16775017
2019,10057,7810,7491,N3 Obtención y suministro de personal,24198247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,24187335
2019,10058,8010,7492,N3 Obtención y suministro de personal,33295143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,no,no,32331730
2019,10059,8010,7492,N3 Obtención y suministro de personal,22660433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,si,no,25678481
2019,10060,8010,7492,N3 Obtención y suministro de personal,5188091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5493705
2019,10062,8010,7492,N3 Obtención y suministro de personal,6671726,340,360,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,no,no,si,si,no,si,no,4398138
2019,10063,8010,7492,N3 Obtención y suministro de personal,184076979,22245,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,si,si,si,si,no,no,no,188003484
2019,10064,8010,7492,N3 Obtención y suministro de personal,11800601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,12773798
2019,10065,8010,7492,N3 Obtención y suministro de personal,13983665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,14797896
2019,10066,8010,7492,N3 Obtención y suministro de personal,22480601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,no,no,23663141
2019,10067,8010,7492,N3 Obtención y suministro de personal,17519743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,no,no,no,17787570
2019,10068,8020,7492,N3 Obtención y suministro de personal,3296323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5017004
2019,10069,8129,7493,N3 Obtención y suministro de personal,3089993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,5158653
2019,10070,8110,7493,N3 Obtención y suministro de personal,86358879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,no,no,no,no,no,102328461
2019,10071,8110,7493,N3 Obtención y suministro de personal,7085939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,6665614
2019,10072,8292,7495,N4 Actividades administrativas,65706874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,70437753
2019,10073,7110,7421,"M1 Actividades profesionales, científicas",42769375,9106,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,si,si,si,si,no,no,no,48228999
2019,10075,8299,7499,N4 Actividades administrativas,11317570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,no,no,no,no,no,12038271
2019,10076,8544,8050,P Educación superior,10805056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,12335763
2019,10077,8544,8050,P Educación superior,3613223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,no,no,no,3717418
2019,10078,8543,8050,P Educación superior,7052854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,no,no,8736629
2019,10079,8544,8050,P Educación superior,349555534,5778,32388,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,si,si,si,si,no,si,no,343930432
2019,10080,8544,8050,P Educación superior,69593249,0,7586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,no,no,no,no,72688423
2019,10081,8543,8050,P Educación superior,13553355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,17752950
2019,10082,8541,8050,P Educación superior,2458328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,2295043
2019,10083,8544,8050,P Educación superior,149449388,17526,250,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,si,si,si,no,no,si,no,112055127
2019,10084,8544,8050,P Educación superior,77029439,94010,2100,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,si,si,si,no,no,no,no,80131066
2019,10085,8610,8511,Q Salud humana,12184449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,11482198
2019,10086,8691,8514,Q Salud humana,40089741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,si,no,27972790
2019,10087,8610,8511,Q Salud humana,173943579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,no,no,no,93366320
