id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10429,2023,H1,auxiliares del transporte,141276673,331267,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1965,H1,77352738,543.0,36962309,38290814,202.0,388.0,590.0,963111,1648187,265462,5424628,541027
10213,2023,H1,auxiliares del transporte,141276673,331267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2011,H1,29645206,31.0,1584207,1659610,12.0,25.0,37.0,312373,14639,57941,429605,2841743
13851,2023,H1,auxiliares del transporte,141276673,331267,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1959,H1,406514497,3745.0,128737638,154540602,2028.0,2512.0,4540.0,3531354,332845,1175868,7060005,310316
10439,2023,H1,auxiliares del transporte,34597790,180809,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1979,H1,50117433,202.0,13924889,14837246,89.0,118.0,207.0,578825,464589,3384,60044,0
13853,2023,H1,auxiliares del transporte,34597790,180809,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1977,H1,40122651,117.0,8853484,9687587,86.0,121.0,207.0,223278,804878,513354,1592513,31097
15179,2023,H1,auxiliares del transporte,34597790,180809,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1987,H1,7492837,68.0,3216474,3273954,17.0,51.0,68.0,51820,719502,10954,275746,0
14582,2023,H1,auxiliares del transporte,121736197,4095057,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1992,H1,297895779,355.0,35160914,42033287,152.0,218.0,370.0,3619622,12223374,99767,4364749,719
18467,2023,H1,auxiliares del transporte,121736197,4095057,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,2015,H1,196524729,298.0,25792193,28738351,90.0,219.0,309.0,2147442,1935211,126622,3223695,1732456
12366,2023,H1,auxiliares del transporte,121736197,4095057,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,2013,H1,129389880,37.0,4698677,5623055,5.0,46.0,51.0,1352053,8421093,2553,5741451,0
12790,2023,H1,auxiliares del transporte,472037682,3922955,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2011,H1,140103573,254.0,15029962,15969750,97.0,157.0,254.0,1792307,1161214,586259,5434153,0
12283,2023,H1,auxiliares del transporte,472037682,3922955,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1992,H1,1511816358,396.0,414194374,474255130,249.0,279.0,528.0,11885486,13600724,4929812,13163590,0
14588,2023,H1,auxiliares del transporte,472037682,3922955,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1996,H1,293006709,142.0,10789061,12847650,127.0,15.0,142.0,2728590,655341,808963,5643869,0
15102,2023,H1,auxiliares del transporte,128445651,1688754,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2002,H1,11722607,13.0,2038957,2372566,1.0,12.0,13.0,135633,101889,971,630425,0
14604,2023,H1,auxiliares del transporte,128445651,1688754,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1991,H1,1075603099,387.0,45822719,51723175,69.0,320.0,389.0,8853372,4806903,365133,31108409,0
19789,2023,H1,auxiliares del transporte,128445651,1688754,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,2014,H1,38214642,54.0,3078080,3836013,20.0,34.0,54.0,457202,1243403,5103,41219,0
17868,2023,H1,auxiliares del transporte,69099265,345770,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2015,H1,47504026,164.0,11613537,12515924,55.0,121.0,176.0,501105,1717067,155336,3839778,0
14601,2023,H1,auxiliares del transporte,69099265,345770,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1985,H1,22834841,72.0,7155816,7155816,13.0,59.0,72.0,5544,14494,2599,41041,0
13233,2023,H1,auxiliares del transporte,69099265,345770,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2006,H1,116289822,589.0,25098386,29159916,205.0,384.0,589.0,1171997,2636,22907,378130,0
