id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
11189,2021,N3,obtencion y suministro de personal,"4.193.568,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,N3,2788073,97,1963786,1963786,10,87,97,2507,16392,1600,2846,257
11190,2021,N3,obtencion y suministro de personal,"19.708.589,00","1.000,00",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1986,N3,19834403,673,16796586,16796586,28,645,673,145248,127355,26554,18650,3560
11191,2021,N3,obtencion y suministro de personal,"7.831.981,00","1.000,00",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1986,N3,10441248,386,7086106,7108681,29,357,386,161863,6635,1695,5611,0
11192,2021,N3,obtencion y suministro de personal,"44.089.228,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,N3,50540414,883,41300520,41813481,119,767,886,46296,63341,10795,19268,48
11194,2021,N3,obtencion y suministro de personal,"2.974.683,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,N3,2971269,136,2192333,2380679,124,12,136,2762,12760,0,0,0
11195,2021,N3,obtencion y suministro de personal,"20.441.041,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,N3,11045199,558,8507493,9277402,375,183,558,22227,49290,4602,2822,252
11196,2021,N3,obtencion y suministro de personal,"7.768.092,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,N3,16980238,321,6491124,7249701,290,31,321,7985,5032,0,0,0
11199,2021,N3,obtencion y suministro de personal,"9.382.921,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,N3,9737237,450,8172461,8746639,341,109,450,10853,62390,3412,3358,57
11201,2021,N3,obtencion y suministro de personal,"298.892.146,00","67.375,00",1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1986,N3,284141452,9808,192308151,204377396,7003,3305,10308,1008058,6813402,54040,158233,435651
11202,2021,N3,obtencion y suministro de personal,"11.138.637,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,N3,12657093,558,9281887,10315784,388,173,561,17133,52091,582,10997,822
