id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
20577,2016,2022,I2,11066662,100,2133344,2248097,67,35,102,15612,22823,2940,238733,40200
21068,2013,2022,N3,12953917,163,4801689,5545158,47,116,163,63000,13000,900,12652,0
21069,1989,2022,I2,9214971,132,2132793,2318406,100,32,132,2311,2764,353455,461866,69626
21070,2007,2022,N3,8010093,154,6809491,6897885,49,105,154,10641,1368,0,0,0
21071,2007,2022,Q,15784440,177,6052680,6277913,68,109,177,6934,37842,34101,141875,327
21072,2012,2022,I2,17982220,11,263222,263222,4,8,12,5460,10000,4500,5000,1200
21073,2010,2022,Q,9018174,166,3712429,3877313,155,12,167,496,0,10495,46229,0
21074,2017,2022,N3,19344872,403,12961819,14504371,302,103,405,0,59420,0,0,0
21075,2007,2022,N3,11919940,265,6332379,6332379,64,201,265,64544,53644,1231,3796,0
15176,2018,2022,I1,2178903,24,605616,635425,17,7,24,7213,100,7194,205194,22090
15177,1983,2022,I1,309618,7,170339,178143,3,4,7,1419,29083,4354,37775,551
15178,1972,2022,I1,4339068,31,710189,728859,24,29,53,17417,78338,103681,189998,106148
15179,1987,2022,H1,6141279,62,2916306,3008269,21,41,62,18689,183846,28871,252173,0
15921,1973,2022,S,2447811,24,579465,610698,13,11,24,23645,77342,9002,13639,143050
15181,1996,2022,LN1,2553790,21,645630,666623,8,13,21,34171,17761,1135,32081,0
15182,1994,2022,N3,18518846,770,16199986,16380855,117,653,770,118000,175352,0,33273,0
15183,1996,2022,N3,11485060,397,7460220,8046721,324,73,397,20748,209075,2194,8329,189
15184,1998,2022,N3,62278036,1567,33036104,33947950,394,1176,1570,44893,11807,10828,62405,428
15185,1981,2022,N3,5684442,137,2952308,3114063,83,56,139,24236,37397,786,10769,126
15186,1985,2022,P,21421019,251,10550062,10711176,124,127,251,98006,239386,35301,464078,1915
15187,1996,2022,Q,3878139,17,1011492,1033180,11,6,17,4486,19108,3851,49789,1050
15188,1979,2022,Q,48950894,329,6516809,6558508,239,90,329,9468,267679,46129,449600,9006
