id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10001,1992,2019,I1,2690535,42,806770,875670,26,16,42,31545,14564,57579,244691,104802
10002,1994,2019,I1,5198956,74,1490082,1498992,39,36,75,3906,102267,170977,425162,61113
10003,1999,2019,I1,14153289,75,2199361,2365296,72,120,192,168172,102069,201072,1410618,263741
10004,2009,2019,I1,10684133,39,695317,695317,24,15,39,88735,0,345980,456870,0
10005,1957,2019,I2,26319862,50,2498261,2886717,81,146,227,146999,358035,394582,1251610,121518
10006,1989,2019,I2,84361203,557,12932987,13122251,557,0,557,635047,660254,142498,520924,275417
10007,1996,2019,I2,1289475,31,638008,663100,19,12,31,15507,12023,18603,118638,99313
10008,1998,2019,I2,15431445,94,2263284,2417894,143,7,150,177288,93903,100809,564514,143716
10012,1993,2019,H1,350353,3,75005,76183,0,3,3,2985,8010,354,5,0
10013,2003,2019,H1,24063044,36,1137457,1329904,7,35,42,162351,44219,0,2739,0
10015,1974,2019,H1,20528645,50,3193060,3556537,8,42,50,228615,683214,126663,355002,402324
10017,1992,2019,H1,189356904,450,22657190,27634180,146,432,578,1225397,521118,245085,2551158,181
10018,2002,2019,H1,8722744,8,503533,514528,3,5,8,105216,7525,1445,39745,0
10019,1970,2019,N2,4303244,61,2077798,2244263,50,11,61,54915,158431,4704,61550,0
10020,1971,2019,N2,4646059,51,2285070,2354384,40,12,52,49665,71828,4522,52286,0
10021,1989,2019,H1,8902563,46,3182740,3786418,18,34,52,110013,25324,6534,60422,217
10022,1994,2019,H1,10416249,147,5588162,5988146,83,64,147,90693,67279,12147,41885,456
10023,1994,2019,H1,3463995,76,1698255,1824015,36,42,78,33463,13898,8879,32732,646
10024,1995,2019,H1,3802789,81,1050001,1173306,43,38,81,43325,41793,7003,42301,2182
10025,1967,2019,H1,4597050,44,1343792,1396843,27,17,44,28076,34298,9676,18903,1092
10026,1998,2019,J3,888011,35,601955,620102,17,19,36,9626,5236,3238,53123,0
10027,2001,2019,J3,167714579,185,11888353,12076922,59,171,230,1660948,946733,15682,135610,0
10028,1995,2019,J3,73015614,14,967227,968194,12,12,24,405068,1228611,78231,3176174,0
10029,2005,2019,I1,18630697,178,5158092,5303650,69,126,195,224737,1278155,259712,1269472,193165
10030,1992,2019,LN1,3014053,44,1346565,1460686,10,35,45,10312,63315,5966,32880,0
10031,0,2019,M1,0,0,,,0,0,0,,,,,
10032,1992,2019,N3,2536,8,105894,109616,4,4,8,1297,0,0,3295,0
10033,1996,2019,M1,21352280,19,2152620,2791403,12,7,19,17435,2856572,7350,43527,0
10034,1993,2019,M1,18860678,250,5556942,6303552,6,244,250,68829,592344,1229,7651,0
10035,1996,2019,M1,8134382,198,4894237,4962963,54,144,198,62753,34675,7894,16473,1450
10036,2000,2019,M1,4535057,65,1340337,1613319,11,54,65,0,7262,1775,7782,0
10038,2001,2019,M1,16555856,59,2962761,3070280,19,40,59,3364,233240,466,22479,183
10040,2005,2019,M1,135818348,1756,65676889,69735809,499,1376,1875,1872169,660816,47875,383974,3004
10041,1989,2019,N3,5680710,260,5474341,5474341,78,182,260,5441,1250,1280,4025,0
10043,1990,2019,N3,5963954,259,5460449,5591106,62,197,259,4422,23839,505,6507,0
10044,1991,2019,N3,22980637,991,19923381,21070399,309,682,991,18659,127640,0,0,0
10045,1992,2019,N3,1301364,142,1359104,1394389,18,124,142,2178,11507,3591,24287,0
10046,1994,2019,N3,0,0,0,0,0,0,0,0,0,0,0,0
10047,1995,2019,N3,10751094,447,8608538,8860795,154,293,447,7829,69400,6535,0,0
10048,1997,2019,N3,19879569,759,15563439,15616078,288,474,762,17877,74860,1403,29634,0
10049,1999,2019,N3,33431047,1156,25836384,27365587,504,652,1156,26053,137896,0,0,0
10050,2000,2019,N3,46241859,1884,40535518,42191498,662,1222,1884,31032,209778,1929,2629,0
10051,2001,2019,N3,29905626,1554,25690409,27050884,612,942,1554,13310,163903,0,60550,0
10052,2001,2019,N3,6286806,149,5542098,5745055,11,140,151,5392,40709,2233,8452,0
10053,2002,2019,N3,3509627,151,3011224,3167728,26,125,151,1501,25851,0,0,0
10055,1973,2019,N3,109870553,5266,95309856,101055483,2371,2895,5266,91037,539722,3064,71481,0
10056,1976,2019,N3,16775017,1184,15326003,15782894,620,564,1184,11317,307,52868,57518,0
10057,1977,2019,N3,24187335,881,21778089,22464251,185,696,881,21669,291879,2803,22057,0
10058,1990,2019,N3,32331730,1283,27231606,28321910,253,1032,1285,27370,197661,12787,99608,1147
10059,1991,2019,N3,25678481,795,17745296,18754164,15,782,797,19129,202179,12168,66630,411
10060,1996,2019,N3,5493705,178,4135589,4270384,10,168,178,4160,40032,4372,2899,455
10062,2002,2019,N3,4398138,40,890499,921063,9,31,40,1564,2919,2869,45558,172
10063,1967,2019,N3,188003484,3687,97318566,100464866,746,2941,3687,164998,1454391,31200,239094,1128
10064,1973,2019,N3,12773798,463,10206972,10467370,18,445,463,8391,58748,9745,32071,0
10065,1978,2019,N3,14797896,451,12775867,12957813,13,440,453,105379,61224,1974,17641,55
10066,1981,2019,N3,23663141,841,17898622,18405991,199,642,841,105071,142214,7421,59429,135
10067,1981,2019,N3,17787570,605,14852551,15362940,65,540,605,14169,87720,5955,69901,0
10068,1986,2019,N3,5017004,86,2032078,2043208,39,50,89,41614,24487,4061,72504,774
10069,1991,2019,N3,5158653,148,2413187,2682855,128,22,150,35811,91322,1080,18000,0
10070,1991,2019,N3,102328461,4140,67940596,73984076,2280,1860,4140,280060,1420770,9866,127529,54
10071,1993,2019,N3,6998894,306,5668497,6025433,109,197,306,45123,32867,2536,0,0
10072,2001,2019,N4,70437753,3087,54672998,59446599,621,2466,3087,359146,452310,9031,5901,0
10073,1988,2019,M1,48228999,198,9311113,9776240,45,153,198,221544,62041,9106,108467,42
10075,2000,2019,N4,12038271,31,1344740,1584867,12,19,31,118356,14111,10693,75095,0
10076,1988,2019,P,12335763,174,8683980,8747267,66,108,174,87593,44574,21954,242126,0
10077,2002,2019,P,3717418,53,1917842,2021853,31,22,53,0,2226,10643,107808,188
10078,1999,2019,P,8736629,32,1243803,1353963,16,21,37,22478,200000,11500,151527,0
10079,1966,2019,P,343930432,1944,162857682,187941493,962,982,1944,1203847,2553377,634362,4995488,93716
10080,1967,2019,P,72688423,857,49549356,50478256,341,516,857,181990,1623088,233565,1654741,2438
10081,1965,2019,P,17752950,162,7149432,7164913,75,87,162,50056,62203,0,0,0
10082,1972,2019,P,2295043,33,1056985,1085473,13,20,33,4821,71530,17986,97370,239
10083,1971,2019,P,112055127,1009,52687276,53838646,514,495,1009,321131,800040,97076,1898035,7906
10084,1974,2019,P,80131066,844,56028223,56391169,523,368,891,191241,343545,102076,626513,4947
10085,1988,2019,Q,11482198,145,3232619,3252767,81,66,147,0,27862,83214,29480,26448
10086,1988,2019,Q,27972790,69,1324094,1384161,37,112,149,854000,252127,40597,534948,1127
10087,1991,2019,Q,93366320,38,1658438,1658438,359,156,515,93,387316,133144,1754362,56139
10088,1992,2019,Q,120903846,64,1862496,1914101,690,183,873,2644,566851,299349,3131182,113522
10090,1994,2019,Q,160248918,907,31331843,32814549,1013,454,1467,17751,145052,347465,2183997,1766
10091,0,2019,Q,0,0,,,0,0,0,,,,,
10092,1995,2019,Q,7543001,62,1576630,1734502,46,16,62,5383,41267,26417,142967,6757
10093,1996,2019,Q,42278441,609,19722622,23119691,243,371,614,367885,176612,46467,295952,3567
10094,1997,2019,Q,10214064,97,2228426,2291134,99,21,120,10408,119525,19742,129314,0
10095,1997,2019,Q,9354225,69,1100142,1272647,52,18,70,50922,189149,15193,237206,672
10096,1996,2019,Q,10120822,50,1161561,1203339,37,15,52,76668,62499,9142,169156,2094
10097,1998,2019,Q,21731936,231,6928249,6960927,191,40,231,0,260,112989,479480,18904
10098,1999,2019,Q,24521999,142,3846184,3970845,105,37,142,27569,9743,38301,182140,0
10099,2003,2019,Q,32305418,664,14215613,15073989,577,87,664,354,132788,16231,111473,0
10100,0,2019,Q,0,0,,,0,0,0,,,,,
10101,1961,2019,Q,41411729,250,7847791,8235493,278,56,334,11872,324208,174088,674840,0
10102,1969,2019,Q,555181276,699,38124404,38316785,1442,1018,2460,87982,705113,906799,1782326,0
10103,1969,2019,Q,5912057,40,575079,618097,48,12,60,57999,261518,45980,262552,8048
10104,1981,2019,Q,18910204,60,1646270,1709533,60,0,60,0,786520,13192,182518,16028
10105,1982,2019,Q,15495334,2,330824,426144,123,0,123,143387,407604,29931,269005,0
10106,0,2019,Q,0,0,,,0,0,0,,,,,
10107,1985,2019,Q,16580202,69,1785296,1844518,54,17,71,5548,185956,9636,38755,355
10108,1987,2019,Q,5421793,4,226729,231332,31,73,104,243,77258,26620,44739,653
10109,1995,2019,Q,11227617,8,1218799,1218799,39,30,69,1993,34508,62247,28037,0
10110,0,2019,Q,0,0,0,0,0,0,0,0,0,0,0,0
10111,1991,2019,Q,21954300,113,6210783,6877886,89,24,113,142241,428406,87463,418066,1556
