id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10001,1992,2020,I1,1278418,35,558884,589084,16,19,35,16299,8044,49545,155441,42913
10002,1994,2020,I1,1567963,39,914026,918226,18,22,40,685,51349,88627,221604,37144
10003,1999,2020,I1,6118734,59,1304459,1457018,38,61,99,74248,195254,152332,844994,133546
10004,2009,2020,I1,2744765,15,289083,289083,7,8,15,17826,19092,132456,154346,0
10005,1957,2020,I2,14030451,48,2221110,2457776,82,132,214,35213,343837,154906,691352,51924
10006,1989,2020,I2,111800965,637,13836658,14065011,266,371,637,886104,3809196,132152,582063,247967
10007,1996,2020,I2,597624,14,383493,383493,10,4,14,7053,13586,13386,64003,51153
10008,1998,2020,I2,8573901,122,2668817,2722371,115,10,125,99829,70201,83617,412798,92546
10012,1993,2020,H1,302974,3,76304,77434,0,3,3,2531,6791,300,4,0
10013,2003,2020,H1,21883926,33,1099283,1324999,7,32,39,126484,37838,0,3239,0
10015,1974,2020,H1,23975057,49,3204782,3471927,9,40,49,239674,547821,106663,289347,398321
10017,1992,2020,H1,181005802,436,23454419,28510222,146,417,563,1040490,321397,593380,2710306,0
10018,2002,2020,H1,8752074,9,608070,626749,4,6,10,108583,0,2061,47885,0
10019,1970,2020,N2,1089071,48,1629321,1746997,35,13,48,13606,43215,3772,39685,0
10020,1971,2020,N2,1303082,40,1017360,1039092,26,14,40,12562,96203,3091,15611,0
10021,1989,2020,H1,8373866,49,3778490,4351099,20,30,50,120004,12210,6891,48527,322
10022,1994,2020,H1,10160859,146,4988841,5447161,63,83,146,92053,51166,4980,80551,0
10023,1994,2020,H1,3544637,76,2317361,2410238,34,42,76,14727,47362,5734,24495,46
10024,1995,2020,H1,2946374,69,1073967,1199348,42,27,69,34684,26074,3138,44015,2504
10025,1967,2020,H1,5088241,44,1445944,1510462,29,15,44,27605,98667,9104,18384,996
10026,1998,2020,J3,1236701,20,373007,390807,6,15,21,11113,2415,8047,58477,0
10027,2001,2020,J3,175576638,214,13321105,13563079,68,187,255,1648054,1144911,11433,115548,0
10029,2005,2020,I1,7361168,165,3491088,3743217,61,106,167,113696,276999,180379,953278,121432
10030,1992,2020,LN1,2420468,33,955789,1029747,7,27,34,23083,57422,6424,20136,0
10031,0,2020,M1,,,,,,,,,,,,
10033,1996,2020,M1,8847988,16,1806213,2010156,10,6,16,12603,2950385,4873,25296,0
10034,1993,2020,M1,9645751,234,4005015,4120709,9,225,234,98849,2253966,418,1722,675
10035,1996,2020,M1,8036503,190,5174268,5933268,51,140,191,62398,40291,6322,15176,886
10036,2000,2020,M1,1104393,13,393463,428910,2,11,13,0,27545,1245,5812,0
10038,2001,2020,M1,14569667,60,2922197,3111023,11,49,60,9983,219074,659,18187,0
10040,2005,2020,M1,149414688,1931,73323900,74634284,554,1486,2040,2062217,82554,42554,305890,1301
10041,1989,2020,N3,4184181,132,3925356,3964841,33,99,132,4729,18272,1051,2088,0
10043,1990,2020,N3,6163059,308,5355459,5675556,97,211,308,4478,24610,168,39185,0
10044,1991,2020,N3,14960669,665,13402715,14306636,283,382,665,12333,89685,0,0,0
10045,0,2020,N3,,,,,,,,,,,,
10047,1995,2020,N3,8577726,414,7300956,7535484,159,255,414,6080,37645,2581,0,0
10048,1997,2020,N3,13746828,647,10943652,10968551,213,437,650,18794,63691,1082,20058,0
10049,1999,2020,N3,42572129,987,32125354,33368320,513,482,995,34109,300151,0,0,0
10050,2000,2020,N3,70042228,2864,60169029,63313860,1007,1857,2864,47232,314858,2509,1921,0
