id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10001,1992,2023,I1,3456999,39,981704,981704,20,19,39,40875,105032,149432,261404,93488
10002,1994,2023,I1,7226625,36,1065968,1113323,22,15,37,0,40081,215335,434207,100398
10003,2015,2023,I1,13894282,77,2394824,2422620,68,57,125,165248,60732,375316,1337866,182516
10004,2017,2023,I1,13249524,139,3211998,3234865,42,97,139,28396,15588,0,0,19800
10005,1957,2023,I2,46060505,119,4492465,5184918,114,142,256,176263,401643,490586,1851121,206658
10006,1989,2023,I2,136631289,998,28350062,29742294,474,524,998,1194556,1684160,367843,1300151,779764
10008,1998,2023,I2,31484039,193,6222216,6572787,179,14,193,369346,188864,259232,1086988,264618
10013,2003,2023,H1,9924057,15,586031,596336,7,14,21,117773,26038,0,2658,0
10015,1974,2023,H1,32485682,75,5840552,5943692,20,55,75,362663,595081,141979,698213,1080028
10017,1992,2023,H1,254832386,450,32008503,38450582,179,441,620,3006183,350056,1049481,3719583,0
10018,2002,2023,H1,12208938,11,977899,994710,5,8,13,153481,43572,3326,90255,0
10019,1970,2023,N2,3075581,53,2170964,2295052,35,18,53,50669,13490,7136,95375,0
10020,1971,2023,N2,1625338,18,1153459,1153459,18,5,23,20338,84102,2913,51646,0
10021,1989,2023,H1,12302189,54,4856334,6015468,25,35,60,148675,39321,13557,98929,315
10022,1994,2023,H1,15142161,187,8195360,8534921,79,108,187,155917,15700,9247,291509,0
10023,1994,2023,H1,5465287,92,3059111,3314148,51,45,96,109989,340421,12865,64022,729
10024,0,2023,H1,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10025,1967,2023,H1,11261525,51,1936750,2010352,32,19,51,116301,202674,14756,37589,2122
10027,2001,2023,J3,297339436,408,27446501,29978670,135,325,460,2683010,1483472,21350,290000,0
10029,2005,2023,I1,28201234,194,7220624,7471364,75,137,212,327057,1151702,463562,1599638,342292
10030,1992,2023,LN1,4033536,37,1564056,1732800,10,27,37,35900,63157,8744,44251,0
10033,1996,2023,M1,6364653,14,2144739,2457951,9,5,14,11986,145068,8287,67623,0
10038,2001,2023,M1,4650550,30,1893514,2210373,9,21,30,6925,210513,1844,19041,142
