"idnoremp","Seccion22","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gpper","gpppsp","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","ocgoi","ocgpc","ocgtg","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3"
13874,"J4",62,2022,49267344,0,50783,16318049,15517041,1907460,243,243,0,20180637,20246420,0,0,65783,2689843,0,0,6655936,26902356,49267344,33750303,28809816,2001,0,0,49267344,0,0,0,230,98,132,0,0,0,"NA","NA","NA",0,0,10,4,6,102,141,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20180637,2689843,2568221,985493,412379,0,1907460,28809816,11174925,0,1268978,0,492766,277200,0,439596,0,43546,4429,537671,52710,49502,4122,377154,29867,134809,80052,584167,5458,678396,15176,0,7147,60378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13875,"J3",61,2022,152734507,16,262786,83547637,76916251,235222,371,371,0,13638875,14786774,845165,0,302734,4364440,270453,0,8415390,23202164,152734507,75818256,23437386,1996,0,2100522,150633985,0,0,0,316,125,191,29,17,12,"NA","NA","NA",9,7,20,9,11,162,225,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13638875,4364440,2968000,812497,0,631677,235222,23437386,9962548,0,2764898,1200,1859693,2746855,1606212,121008,22111947,2016314,1593391,564478,112037,331292,235830,74088,558518,0,20848712,352018,6383933,0,4714,129466,152402,8384406,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13877,"J2",60,2022,39600809,114,19316,36400699,32131937,44762,164,164,0,0,6712519,6595087,0,117432,0,2941811,0,4692070,11404589,39600809,7468872,11449351,1985,0,17047587,22553222,0,0,0,0,0,0,152,47,105,"NA","NA","NA",40,74,2,1,1,94,184,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1361931,388328,0,6420169,44762,11449351,17751660,0,1827081,418202,194129,171814,3845093,9337,0,162858,0,131658,868660,365942,29519,289192,674783,371390,739215,89144,1515887,0,36715,41409,1744,445098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13878,"H1",52,2022,22435354,0,148500,1572315,1284937,1411572,330,330,0,8927863,9076363,0,0,148500,1455327,0,0,3128434,12204797,22435354,21150417,13616369,1938,0,0,22435354,0,0,0,315,184,131,0,0,0,"NA","NA","NA",0,0,15,12,3,196,134,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8927863,1455327,1271209,401898,0,0,1411572,13616369,0,0,218083,0,241586,16494,18522,54348,0,32797,278102,11218,143147,154201,4679,84740,21389,59999,116349,26140,22749,0,11982,0,7293,48497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15804,"LN1",68,2022,3042875,0,0,1218182,1019417,122498,36,36,0,1108610,1108610,0,0,0,341984,0,0,524266,1632876,3042875,2023458,1755374,1987,0,0,3042875,0,0,0,36,25,11,0,0,0,"NA","NA","NA",0,0,0,0,0,25,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108610,341984,134520,47762,0,0,122498,1755374,0,0,249250,0,31363,146004,13619,226996,0,0,45418,174317,91562,40483,3145,55509,1873,27783,43936,2741,0,6071,37531,1181,0,19400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13879,"LN1",68,2022,5030926,0,0,3201461,2653217,41200,13,13,0,1010152,1022252,12100,0,0,171720,2642,0,350294,1372546,5030926,2377709,1413746,1966,0,0,5030926,0,0,0,12,6,6,1,0,1,"NA","NA","NA",0,0,0,0,0,6,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010152,171720,117559,58373,0,0,41200,1413746,0,0,1094289,0,21764,510733,0,339874,0,0,0,200150,19107,151231,15176,15989,84748,0,698127,7797,0,16151,13831,8968,0,2922,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13880,"LN1",68,2022,58487546,0,0,13727583,8494544,376799,72,72,0,4030472,4102588,72116,0,0,711433,15865,0,1632801,5735389,58487546,49993002,6112188,1969,0,339570,58147976,0,0,0,68,36,32,4,2,2,"NA","NA","NA",0,0,0,0,0,38,34,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030472,711433,633255,272248,0,0,376799,6112188,3703796,0,1191018,0,628864,4336183,231631,157391,0,114368,0,0,827185,531113,26088,67655,4689,191933,493121,67264,161056,273365,32297,3269,17294,668003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13881,"N4",82,2022,58382927,0,99909,42610299,42039046,0,136,136,0,7033628,7133537,0,0,99909,3079342,0,0,4805943,11939480,58382927,16343881,11939480,1971,0,22069328,36313599,0,0,0,128,70,58,0,0,0,"NA","NA","NA",0,0,8,4,4,74,62,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7033628,3079342,1501458,335490,0,0,0,12049827,28784830,0,962631,41000,132792,82468,232250,4117255,0,4093364,111604,34467,57298,567433,425695,484418,0,37591,859976,37380,0,86776,16987,8263,9821,1413211,12789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13882,"LN1",68,2022,6976428,0,0,1374396,970053,123517,70,70,0,1557770,1557770,0,0,0,356959,0,0,620852,2178622,6976428,6006375,2302139,1962,0,0,6976428,0,0,0,70,40,30,0,0,0,"NA","NA","NA",0,0,0,0,0,40,30,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557770,356959,192852,71041,0,0,123517,2302139,0,0,43289,0,58260,336722,0,297534,0,0,0,24241,58158,832,14466,30697,0,166154,180606,0,0,52456,26302,18352,305,66022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13883,"LN1",68,2022,41486833,0,0,14020026,13449247,35425,39,39,0,1312809,1755501,435226,0,7466,178063,100102,0,586108,2341609,41486833,28037586,2377034,1989,0,0,41486833,0,0,0,13,4,9,25,4,21,"NA","NA","NA",0,0,0,0,0,9,30,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312809,178063,221602,86341,0,0,35425,2377034,12292998,0,897969,0,560813,883,6474,79292,0,1011,0,0,15579,1417,14939,15608,1665,42409,21618,0,32012,4556,2278,1564,3985,22737,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
