"idnoremp","Seccion21","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gppsi","gpper","gpppsp","gpppst","gsppt","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","occree","ocgoi","ocgpc","ocgog","ocgtg","ocgamc","ocgtgno","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppsied1","gppsied2","gppsied3","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gpppsted1","gpppsted2","gpppsted3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3","opcomex"
10001,"I1",55,2021,2777410,0,19802,1050082,1007932,0,25,25,0,225000,416502,171700,0,19802,49500,37775,0,216391,632893,2777410,1769478,632893,1992,0,780779,1996631,0,0,0,12,5,7,11,7,4,0,0,0,0,0,2,2,0,14,11,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225000,49500,NA,NA,99961,29155,0,0,0,632893,296913,0,28147,0,29535,NA,5717,0,NA,0,NA,NA,0,945,0,37699,11396,8953,126832,45173,15217,13779,201022,0,45556,0,14425,5229,3512,73346,86686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"I1",55,2021,2563253,0,5969,1340512,893009,0,16,15,0,105888,244462,132605,0,5969,25458,36905,0,125667,370129,2563253,1670244,370129,1994,0,1393635,1169618,1,1,0,3,3,0,11,11,0,0,0,0,0,0,1,1,0,16,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105888,25458,NA,NA,53525,9779,0,0,0,370129,216988,0,63085,0,42943,NA,398369,0,NA,0,NA,NA,0,0,0,148825,0,0,120294,8498,8661,0,550,0,57040,0,1792,1779,705,230549,40434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,"I1",55,2021,7517713,27,0,5375938,4716215,44392,47,47,0,1033665,1033665,0,0,0,227406,0,0,400241,1433906,7517713,2801498,1478298,2016,0,3360176,4157537,0,0,0,47,17,30,0,0,0,0,0,0,13,14,0,0,0,30,44,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033665,227406,NA,NA,113306,40985,18544,741894,44392,1478298,1478334,0,19160,0,90691,NA,36867,507147,NA,0,NA,NA,0,0,156310,500250,164,56717,161682,40642,29496,1334,396143,0,50988,123474,4009,8068,12965,830041,129562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,"I1",55,2021,8334016,0,0,4675496,4571942,0,76,76,0,886605,886605,0,0,0,195053,0,0,438225,1324830,8334016,3762074,1324830,2017,0,1156963,7177053,0,0,0,76,33,43,0,0,0,0,0,0,0,0,0,0,0,33,43,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886605,195053,NA,NA,161174,81998,0,0,0,1324830,3456897,0,23454,0,58338,NA,34267,0,NA,0,NA,NA,7639,8765,0,0,0,6764,198765,17653,0,45432,225553,0,287450,34329,6209,8769,31234,223978,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,"I2",56,2021,22229918,125,0,19567944,18967411,311928,44,44,0,1378634,1378634,0,0,0,552851,0,0,950718,2329352,22229918,3262507,2641280,1957,0,19041621,3188297,0,0,0,44,23,21,0,0,0,0,0,0,40,85,0,0,0,63,106,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378634,552851,NA,NA,293360,125201,0,2998238,311928,2661974,1751674,0,220523,10005,67097,NA,375721,16432,NA,7545166,NA,NA,0,2371052,0,0,43486,6402,296660,198013,560102,0,1942187,868,0,0,19948,26460,80801,957094,80015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,"I2",56,2021,81997048,0,138146,53561579,40350410,0,775,775,0,316902,12314940,11859892,0,138146,74408,3095432,0,5561937,17876877,73268961,32918551,17876877,1989,11166070,0,70830978,0,0,0,6,2,4,751,371,380,0,0,0,0,0,18,13,5,386,389,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316902,74408,NA,NA,1875226,516871,0,0,0,17876877,29744506,8728087,1058707,0,694132,NA,3629400,63114,NA,968160,NA,NA,0,322002,1072148,0,220,436185,147855,271488,1555207,43966,1302385,233588,0,1531621,151618,232557,278323,617523,478787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,"I2",56,2021,787955,0,14786,465557,453553,0,9,9,0,189228,284384,80370,0,14786,1,19445,0,81698,366082,787955,334402,366082,1996,0,0,787955,0,0,0,3,3,0,5,3,2,0,0,0,0,0,1,1,0,7,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189228,1,NA,NA,49852,12400,0,0,0,366082,126475,0,74016,4632,9283,NA,773,0,NA,1802,NA,NA,55585,59911,0,0,0,2739,13917,4170,0,0,1833,0,0,0,339,0,0,61800,48282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"I2",56,2021,17327814,0,45944,10416363,10089456,362693,155,155,0,2619960,2665904,0,0,45944,587143,0,0,1082410,3748314,17327814,7238358,4111007,1998,0,0,17327814,0,0,0,150,142,8,0,0,0,0,0,0,0,0,5,3,2,145,10,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2619960,587143,NA,NA,374805,120462,0,0,362693,4111007,7248595,0,182179,0,197636,NA,102416,0,NA,374848,NA,NA,0,77581,2560,665713,138196,20646,103800,19064,138323,0,189760,10611,159602,799,38535,345,67601,537596,139957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012,"H1",52,2021,394246,0,0,237630,224989,1133,3,3,0,57056,57056,0,0,0,12557,0,0,24160,81216,394246,169257,82349,1993,0,0,394246,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57056,12557,NA,NA,8802,2549,252,0,1133,82349,157966,0,20657,0,3305,NA,8868,0,NA,735,NA,NA,0,0,2861,9220,0,346,392,4444,784,0,2150,478,0,226,257,22655,2281,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,"H1",52,2021,20924788,7,16408,15997644,15830725,204264,29,29,0,675702,692110,0,0,16408,185065,0,0,407501,1099611,20924788,5094063,1303875,2003,0,0,20924788,0,0,0,27,5,22,0,0,0,0,0,0,1,6,2,1,1,7,29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675702,185065,NA,NA,117279,28514,76643,193041,204264,1303875,14504520,0,835849,0,120388,NA,43528,0,NA,4484,NA,NA,0,0,0,85538,0,132820,0,16797,0,0,54747,0,0,0,449,0,1871,3612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,"H1",52,2021,21237250,0,33192,6308712,5503799,236239,45,45,0,1966179,1999371,0,0,33192,485563,0,0,977291,2976662,21237250,15733451,3212901,1974,0,0,21237250,0,0,0,41,12,29,0,0,0,0,0,0,0,0,4,2,2,14,31,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966179,485563,NA,NA,429956,102857,0,0,236239,3253986,1234817,0,689606,0,234640,NA,534118,0,NA,15031,NA,NA,0,830570,0,133460,36451,642907,122763,85910,24532,0,905530,42234,0,26453,36470,30830,149785,309291,223314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,"H1",52,2021,209981065,131,173861,137865600,135790709,7600571,426,426,0,16092841,16266702,0,0,173861,3068947,0,0,7677782,23944484,209981065,74190356,31545055,1992,0,595630,209385435,0,0,0,404,109,295,0,0,0,0,0,0,27,104,22,9,13,145,412,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16092841,3068947,NA,NA,2610172,787836,1210827,4069429,7600571,31545055,115212393,0,4135490,0,1255591,NA,394559,299757,NA,307469,NA,NA,0,1134879,87169,0,336878,2131527,635961,322178,12034,203914,3860031,203011,3534,226960,86460,57952,168348,2720076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"H1",52,2021,8189320,2,0,3878309,3768250,17427,9,9,0,461477,461477,0,0,0,106573,0,0,202167,663644,8189320,4421070,681071,2002,0,0,8189320,0,0,0,9,9,0,0,0,0,0,0,0,0,2,0,0,0,9,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461477,106573,NA,NA,73936,21658,0,39200,17427,681071,2353814,0,421807,0,101075,NA,0,0,NA,0,NA,NA,63974,0,3595,186963,83975,166732,2061,20123,0,5263,379284,0,0,0,2474,0,6484,41485,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10019,"N2",79,2021,1577777,0,9971,882575,774621,0,34,34,0,1029011,1038982,0,0,9971,226382,0,0,443648,1482630,1577777,803156,1482630,1970,0,0,1577777,0,0,0,33,28,5,0,0,0,0,0,0,0,0,1,0,1,28,6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029011,226382,NA,NA,170006,47260,0,0,0,1482630,0,0,39965,0,19288,NA,81245,0,NA,185751,NA,NA,0,119269,4115,42978,22838,22040,3798,108396,4403,39980,69957,25775,18732,0,7722,8250,13473,44600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020,"N2",79,2021,1515392,0,0,341130,310572,0,18,18,0,522749,522749,0,0,0,115005,0,0,235237,757986,1515392,1204820,757986,1971,0,0,1515392,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,14,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522749,115005,NA,NA,83640,36592,0,0,0,757986,0,0,79851,0,17934,NA,10293,0,NA,2625,NA,NA,0,0,0,41976,31733,25825,1306,18932,1600,3915,5066,773,49274,10368,1434,0,0,38225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,"H1",52,2021,9771190,2,19056,1895747,1730984,489184,48,48,0,2635685,2654741,0,0,19056,579851,0,0,1247536,3902277,9771190,8040206,4391461,1989,0,0,9771190,0,0,0,46,17,29,0,0,0,0,0,0,1,1,2,0,2,18,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635685,579851,NA,NA,423352,110344,133989,127954,489184,4391461,0,0,92224,0,123158,NA,26630,0,NA,0,NA,NA,28278,102912,180751,262859,46686,85367,7072,142007,468,167,193756,201447,0,29243,39893,88037,59195,57376,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,"H1",52,2021,10537103,0,16586,3456163,3262704,420205,145,145,0,3601026,3623072,0,0,22046,800381,0,0,1529118,5152190,10537103,7274399,5572395,1996,0,0,10537103,0,0,0,142,62,80,0,0,0,0,0,0,0,0,2,2,0,65,80,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3601026,800381,NA,NA,580746,147991,0,0,420205,5572395,1243936,0,59445,0,103553,NA,70115,0,NA,264230,NA,NA,0,71819,0,151250,47074,62727,5666,646564,191794,12972,168453,9134,0,156631,35724,346,64904,89826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,"H1",52,2021,4161292,0,30200,658280,589662,94674,81,81,0,1707596,1737796,0,0,30200,374548,0,0,735613,2473409,4161292,3571630,2568083,1994,0,0,4161292,0,0,0,78,33,45,0,0,0,0,0,0,0,0,3,1,2,34,47,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707596,374548,NA,NA,280520,80545,0,0,94674,2568083,0,0,169920,0,15402,NA,48976,0,NA,22080,NA,NA,0,0,0,75859,18331,37101,5890,31502,42650,0,23401,4100,8120,98745,31050,0,0,25102,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024,"H1",52,2021,3585877,0,0,1051174,933825,146849,67,67,0,788666,799644,0,0,10978,175083,0,0,339448,1139092,3585877,2652052,1285941,1995,0,0,3585877,0,0,0,65,38,27,0,0,0,0,0,0,0,0,0,0,0,39,28,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,788666,175083,NA,NA,126187,38178,0,0,146849,1285941,0,0,63169,0,41590,NA,31540,35424,NA,61630,NA,NA,0,13116,0,227697,36460,12635,3017,70680,0,0,21418,1472,0,351091,26302,4709,6360,40414,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025,"H1",52,2021,7004793,0,17012,1802164,1627412,89031,45,45,0,1063121,1080133,0,0,17012,250226,0,0,458543,1538676,7004793,5377381,1627707,1967,0,93630,6911163,0,0,0,43,26,17,0,0,0,0,0,0,0,0,2,1,1,27,18,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063121,250226,NA,NA,164034,44283,0,0,89031,1627707,0,0,345163,0,32739,NA,93592,35469,NA,336502,NA,NA,0,108230,95049,13370,42098,21815,10665,44542,319138,5720,83849,5430,0,120000,45727,11588,9437,21007,1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10026,"J3",61,2021,1340244,0,10548,632268,610665,15932,22,21,0,0,276790,257490,0,19300,0,65181,0,118010,394800,1340244,729579,410732,1999,0,0,1340244,1,0,1,0,0,0,19,7,12,0,0,0,0,0,1,1,0,8,14,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,41345,11484,0,0,15932,410732,399780,0,3800,0,12852,NA,6659,0,NA,0,NA,NA,0,0,30940,0,36957,0,3625,12379,1200,700,5332,0,0,0,8325,22524,6800,80395,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10027,"J3",61,2021,211604664,3,116107,94736540,90680921,343396,291,291,0,10835910,10952017,0,0,116107,2370013,0,0,5451522,16403539,211604664,120923743,16746935,2001,0,0,211604664,0,0,0,280,65,215,0,0,0,0,0,0,1,2,11,5,6,71,223,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10835910,2370013,NA,NA,1801543,643744,636222,53936,343396,16746935,48088793,0,25569997,0,1998887,NA,1059495,826099,NA,15656,NA,NA,25520,165582,9837,38342,84465,422938,11270,338734,36120,198902,14843382,453001,0,13519,7943,168973,156132,149017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10029,"I1",55,2021,14407290,1,24349,5740152,4619169,157326,141,141,0,3396339,3420688,0,0,24349,694209,0,0,1262730,4683418,14407290,9788121,4840744,2005,0,6664382,7742908,0,0,0,138,54,84,0,0,0,0,0,0,0,1,3,1,2,55,87,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3396339,694209,NA,NA,425348,143173,0,16645,157326,4840744,1839693,0,91304,5638,147845,NA,946152,58,NA,0,NA,NA,0,269604,0,0,18983,21751,258138,134824,10706,91740,123194,2074,266071,28120,92029,5503,29728,1145501,194851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,"LN1",77,2021,2638582,1,18551,1243420,822718,69265,30,30,0,563968,632591,50072,0,18551,152801,12518,0,339807,972398,2448558,1625840,1041663,1992,316524,252504,2069554,0,0,0,24,6,18,4,2,2,0,0,0,0,1,2,0,2,8,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563968,152801,NA,NA,123723,37993,12772,33212,69265,1041663,361330,190024,168785,0,4678,NA,197210,26170,NA,46682,NA,NA,0,0,0,0,7237,4340,7011,13733,6319,9295,62080,12281,5824,943,4409,56892,8275,16690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,"M1",70,2021,7318556,0,4057,14688659,8678903,227745,16,16,0,1245701,1249758,0,0,4057,266197,0,0,544511,1794269,7318556,-1360347,2022014,1996,0,74305,7244251,0,0,0,15,9,6,0,0,0,0,0,0,0,0,1,1,0,10,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245701,266197,NA,NA,149372,85633,43309,0,227745,2022014,4669586,0,2806163,0,10296,NA,2454586,3536617,NA,133527,NA,NA,385681,101441,83409,62238,63503,139770,5306,27915,11,0,49212,91107,0,0,2476,27500,205,38110,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034,"M1",71,2021,19310024,0,130828,4398581,3743535,0,308,308,0,4149340,4280168,0,0,130828,958288,0,0,1909310,6189478,19310024,15566489,6189478,1993,0,0,19310024,0,0,0,298,298,0,0,0,0,0,0,0,0,0,10,10,0,308,0,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149340,958288,NA,NA,776957,174065,0,0,0,6189478,3199287,0,88370,0,193313,NA,457128,0,NA,0,NA,NA,0,10232,3040,88340,12435,69362,7025,28538,14105,3330,60140,0,0,62449,14787,49357,25345,11998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035,"M1",71,2021,8576675,0,79008,1320384,1190762,897503,193,192,0,3610593,3689601,0,0,79008,781121,0,0,1433439,5123040,8576675,7385913,6020543,1996,0,0,8576675,1,0,1,185,40,145,0,0,0,0,0,0,0,0,7,4,3,44,149,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3610593,781121,NA,NA,508606,143712,0,0,897503,6020543,558689,0,21430,0,63633,NA,59821,0,NA,91271,NA,NA,0,0,0,34422,4809,172676,7381,31476,5900,0,140862,9097,0,0,10534,86831,0,20672,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,"M1",71,2021,1139733,0,0,651405,649728,39025,8,8,0,142154,142154,0,0,0,31102,0,0,56200,198354,1139733,490005,237379,2000,0,18176,1121557,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,2,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142154,31102,NA,NA,19454,5644,0,0,39025,237379,373766,0,109952,0,0,NA,0,0,NA,27645,NA,NA,0,0,2486,59154,5656,0,0,25283,212,0,6981,0,0,30877,1130,0,118,8145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
