"idnoremp","Seccion21","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gppsi","gpper","gpppsp","gpppst","gsppt","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","occree","ocgoi","ocgpc","ocgog","ocgtg","ocgamc","ocgtgno","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppsied1","gppsied2","gppsied3","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gpppsted1","gpppsted2","gpppsted3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3","opcomex"
10722,"M1",69,2021,11732967,0,0,4676599,4513187,189204,64,64,0,3319858,3319858,0,0,0,724601,0,0,1303681,4623539,11732967,7219780,4812743,2002,0,0,11732967,0,0,0,64,48,16,0,0,0,0,0,0,0,0,0,0,0,48,16,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3319858,724601,NA,NA,427133,151947,0,0,189204,4812743,0,0,3688730,0,81748,NA,73336,0,NA,126984,NA,NA,0,0,0,372062,172241,35629,4144,27551,1166,3763,26486,35803,0,926,9508,0,2804,13718,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10723,"M1",69,2021,6973236,0,0,626689,457998,46391,30,30,0,1854830,1854830,0,0,0,266782,0,0,561793,2416623,6973236,6515238,2463014,2003,0,0,6973236,0,0,0,30,23,7,0,0,0,0,0,0,0,0,0,0,0,23,7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1854830,266782,NA,NA,114604,125210,55197,0,46391,2463014,0,0,276233,0,44814,NA,27698,94601,NA,37706,NA,NA,25524,0,50610,10778,1502,18932,0,20519,0,0,0,2213,0,445,219,14895,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10724,"N4",82,2021,435749,0,23622,173607,99208,11749,10,10,0,162772,214145,3100,0,48273,36148,801,0,69067,283212,365749,266541,294961,2003,1e+05,1e+05,235749,0,0,0,3,1,2,2,1,1,0,0,0,0,0,2,1,1,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162772,36148,NA,NA,21710,10408,0,0,11749,294961,0,70000,2673,0,2225,NA,1020,181,NA,3524,NA,NA,225,1446,5365,3263,54,159,175,10374,0,0,349,388,70008,0,152,0,693,1333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10725,"M1",69,2021,20647852,0,22424,3285028,2972986,707674,86,86,0,6981060,7003484,0,0,22424,1758911,0,0,3323443,10326927,20647852,17674866,11034601,1996,0,0,20647852,0,0,0,82,50,32,0,0,0,0,0,0,0,0,4,3,1,53,33,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6981060,1758911,NA,NA,1140278,424254,0,0,707674,11034601,0,0,611963,0,145448,NA,102700,40045,NA,1008986,NA,NA,0,6500,7634,612897,84740,184085,4332,146056,3168,18402,50885,17673,0,151835,33206,0,8738,45735,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10727,"M1",69,2021,23731431,0,34197,7450824,6848229,113859,134,134,0,9435113,9469310,0,0,34197,1178979,0,0,3108893,12578203,23731431,16883202,12692062,1972,0,0,23731431,0,0,0,127,68,59,0,0,0,0,0,0,0,0,7,5,2,73,61,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9435113,1178979,NA,NA,1355186,574728,0,0,113859,12692062,0,0,4038077,0,160845,NA,250428,162937,NA,814129,NA,NA,0,48068,0,789109,270616,123320,1439,219535,8368,98351,282075,88984,0,4281,43153,312,7009,39788,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10728,"M1",69,2021,18404769,1,43530,11042846,10720529,12700,97,97,0,7220587,7264117,0,0,43530,1576255,0,0,3415256,10679373,18404769,7684240,10692073,1974,0,0,18404769,0,0,0,93,77,16,0,0,0,0,0,0,0,1,4,2,2,79,19,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7220587,1576255,NA,NA,1191397,405714,241890,24721,12700,10692073,7476417,0,726636,0,111317,NA,131658,54163,NA,964191,NA,NA,0,38603,123464,740678,124342,40908,0,88428,180,297142,31081,5113,0,21808,3173,0,0,38823,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10729,"M1",69,2021,12194876,0,2507,4106670,3736900,892212,32,32,0,3066027,3071031,0,0,5004,392064,0,0,995439,4066470,12194876,8457976,4958682,1976,0,0,12194876,0,0,0,30,19,11,0,0,0,0,0,0,0,0,1,1,0,21,11,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3066027,392064,NA,NA,398637,175859,28879,0,892212,4958682,1192540,0,1033169,0,97924,NA,96286,160679,NA,372751,NA,NA,37945,60536,131995,525179,58597,92311,1432,102660,1540,57299,32586,9700,0,10129,6124,286,4104,20898,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10730,"M1",69,2021,3610902,0,0,1982988,1760637,7916,11,8,0,272041,272041,0,0,0,64299,0,0,117332,389373,3610902,1850265,397289,1976,0,0,3610902,3,0,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,6,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272041,64299,NA,NA,46246,6787,0,0,7916,397289,1597967,0,39047,0,22439,NA,45974,153128,NA,0,NA,NA,43434,1130,0,0,20630,10004,712,21679,603,460,6004,7347,0,51,1404,0,3676,7299,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10732,"M1",69,2021,100398087,0,0,64330524,62503261,31465,162,162,0,15381842,15431784,49942,0,0,3364720,11231,0,7440417,22872201,100398087,37894826,22903666,2012,0,0,100398087,0,0,0,160,100,60,2,1,1,0,0,0,0,0,0,0,0,101,61,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15381842,3364720,NA,NA,2561316,945190,557960,0,31465,22903666,0,0,53644682,0,759066,NA,493175,488098,NA,3799964,NA,NA,253091,112547,0,2611464,165968,18853,22641,165725,45931,0,863687,561232,0,243912,25796,0,7692,47000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10733,"N4",82,2021,95823653,0,271116,9404628,7482565,1657531,776,776,0,14764765,18783651,3663363,0,355523,3630627,847316,0,9313127,28096778,95823653,88341088,29754309,1987,0,0,95823653,0,0,0,492,341,151,247,164,83,0,0,0,0,0,25,20,5,535,241,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14764765,3630627,NA,NA,2996788,888123,950273,0,1657531,29754309,0,0,2070668,0,1015341,NA,852056,0,NA,1995326,NA,NA,0,651651,14298,153445,44506,176153,20268,122897,9374,0,561973,6831,7295,66280,118663,651,1250014,266938,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
