"";"idnoremp";"Seccion20";"Division";"periodo";"intio";"pottcag";"gppgpa";"ocgtot";"CONINTER";"OTROSG";"PEROCU";"PEREMU";"PMISION";"SULPERM";"SULSAL";"SULTEMP";"SULMISION";"SULAPRENDIZ";"PRESPERM";"PRESTEMP";"PRESMISION";"PRESTA";"REMU";"PROBRU";"VALAGRE";"TOTG";"idaio";"imesetot";"inoio";"insertot";"potpsfr";"pompsfr";"pohpsfr";"potperm";"pomperm";"pohperm";"pottcde";"pomtcde";"pohtcde";"pottmoe";"pomtmoe";"pohtmoe";"pomtcag";"pohtcag";"potpau";"pompau";"pohpau";"pomtot";"pohtot";"pottot";"pompsfr1";"pohpsfr2";"pompsfr3";"pohpsfr4";"pompsfr5";"pohpsfr6";"pomperm1";"pohperm2";"pomperm3";"pohperm4";"pomperm5";"pohperm6";"pomtcde1";"pohtcde2";"pomtcde3";"pohtcde4";"pomtcde5";"pohtcde6";"pomtcag1";"pohtcag2";"pomtcag3";"pohtcag4";"pomtcag5";"pohtcag6";"pomtdhc";"pohtdhc";"pomtmad";"pohtmad";"pompau1";"pohpau2";"pomtot1";"pohtot2";"pomtot3";"pohtot4";"pomtot5";"pohtot6";"ththca";"thtmas";"gppsi";"gpper";"gpppsp";"gpppst";"gsppt";"gppcpo";"gppano";"gppavo";"gpppta";"gppgpn";"gpptpot";"ocgrps";"gmesetot";"gsptot";"ocgrc";"ocgid";"occree";"ocgoi";"ocgpc";"ocgog";"ocgtg";"ocgamc";"ocgtgno";"gouts";"ocgsv";"ocgee";"ocgar";"ocgca";"ocgse";"ocgsp";"ocgco";"ocgfa";"ocgpp";"ocgnr";"ocggv";"ocgct";"ocggr";"ocgup";"ocgcl";"ocgusi";"ocgspe";"ocgsgn";"gppsied1";"gppsied2";"gppsied3";"gppered1";"gppered2";"gppered3";"gpppsp1";"gpppsp2";"gpppsp3";"gpppsted1";"gpppsted2";"gpppsted3";"gppcpoed1";"gppcpoed2";"gppcpoed3";"gppanoed1";"gppanoed2";"gppanoed3";"gppavoed1";"gppavoed2";"gppavoed3";"gppdocen";"gppgpaed1";"gppmoni";"gppgpned1";"gppgpned2";"gppgpned3";"gpptpoted1";"gpptpoted2";"gpptpoted3";"opcomex"
"1978";12173;"LN1";68;2020;36153784;13;0;3040989;2510793;26349;93;93;0;6391296;6391296;0;0;0;772360;0;0;2217253;8608549;36153784;33642991;8634898;1940;0;0;36153784;0;0;0;93;50;43;0;0;0;0;0;0;6;7;0;0;0;56;50;106; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;6391296;772360;0;0;1053115;391778;0;432373;26349;8634898;0;0;856065;0;222537;0;295312;0;0;119721;0;0;0;74162;23685;187099;81753;17056;5404;51989;43070;194519;340191;41639;0;0;19172;0;0;35242;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1979";12174;"R";93;2020;10009658;1;49154;3826529;3383706;0;158;158;0;3056215;3105369;0;0;49154;897516;0;0;1517070;4622439;10009658;6625952;4622439;1899;0;3869;10005789;0;0;0;151;42;109;0;0;0;0;0;0;1;0;7;3;4;46;113;159; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;3056215;897516;0;0;467815;151739;0;28652;0;4622439;1562297;0;401242;0;99691;0;308095;20981;0;511027;0;0;0;20202;98731;0;3505;58032;15754;71101;18282;11902;252284;0;0;0;12060;5637;77278;173509;76267; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1980";12175;"P";85;2020;591470;0;0;214694;185568;0;7;7; ;106678;186462;79784;0;0;23288;17821;0;77848;264310;591470;405902;264310;1968;0;0;591470;0;0;0;4;2;2;2;1;1; ; ; ;0;0;0;0;0;4;3;7;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;2562;0;0;106678;23288;0;0;26965;9774;0;0;0;326147;23578;0;56264;0;10212;0;17846;0;0;0;0;0;0;3237;0;20382;4812;7407;11042;3681;6991;0;22722;1727;0;0;2708;0;0;22085;0;0;0;0;106678;0;0;23288;0;0;0;0;0;26965;0;0;9774;0;0;0;0;0;61837;0;0;0;0;0;264310;0;0;4
"1981";12176;"H1";52;2020;2047187;0;0;759359;563142;108626;35;34;0;719806;719806;0;0;0;158626;0;0;274676;994482;2047187;1484045;1103108;1967;0;0;2047187;1;1;0;34;6;28;0;0;0;0;0;0;0;0;0;0;0;7;28;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;719806;158626;0;0;87838;28212;0;0;108626;1103108;0;0;70786;3723;20032;0;171249;0;0;55487;0;0;0;0;0;153202;1103;11228;7253;8346;2760;1560;152354;0;0;0;19132;0;7650;73494;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1982";12177;"J4";62;2020;49731865;0;0;3761593;2978290;0;147;147;0;13220267;14979871;1759604;0;0;2646240;392104;0;8183612;23163483;49731865;46753575;23163483;1977;0;4475521;45256344;0;0;0;117;44;73;30;10;20;0;0;0;0;0;0;0;0;54;93;147; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;13220267;2646240;0;0;1607976;656559;2880733;0;0;23163483;0;0;87886;0;238215;0;520215;0;0;382709;0;0;427960;139399;0;0;100842;13759;0;320209;957275;39659;315410;31014;0;42150;4580;140311;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3
"1983";12180;"P";85;2020;243854416;0;549297;61150803;55020342;2669044;1785;1785; ;37770485;68914632;30512032;0;632115;8342015;6636584;0;34302836;103217468;243854416;188834074;105886512;1983;0;25285445;218568971;0;0;0;755;426;329;957;463;494; ; ; ;0;0;65;25;40;919;866;1785;0;0;0;0;0;0;267;200;150;122;17;13;177;120;110;184;351;380;0;0;0;0;0;0;4;2;0;0;25;40;470;361;260;306;368;393;15321;0;0;37770485;8342015;0;0;13178719;6145518;0;0;2669044;107092205;2789530;0;5462895;6364814;1033606;0;2439135;2249608;0;9424367;0;0;0;5351449;269691;168749;1010031;775802;241400;1915005;91636;10863878;2896366;411420;6164794;31892;74018;5610;338716;774549;1842;0;0;0;22330537;14657777;782171;4912718;3257220;172077;0;0;0;5326254;5293920;2558545;2469881;2458126;1217511;0;0;0;1205693;549297;0;1977064;323204;368776;45816074;40775747;19294691;4
"1984";12181;"J4";63;2020;94329160;3;238407;39292837;37525989;2218624;1625;1625;0;12228220;26202858;13571572;0;403066;2645000;4815762;0;12461600;38664458;95051186;57525197;40883082;2005;0;1901394;92427766;0;0;0;385;194;191;1189;769;420;0;0;0;3;0;30;18;12;999;629;1628; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;12228220;2645000;0;0;3815712;1185126;0;52065;2218624;40883082;0;0;16188413;0;1034413;0;517430;0;0;2699814;0;0;0;3407610;4500013;2037411;113978;946296;78102;3023440;899077;78091;1324274;72732;0;0;899652;93519;570088;756419;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1985";12183;"N3";80;2020;2157358;0;0;141756;138874;62937;104;104;0;1354592;1354592;0;0;0;298663;0;0;591299;1945891;2157358;2018484;2008828;2005;0;0;2157358;0;0;0;104;10;94;0;0;0;0;0;0;0;0;0;0;0;10;94;104; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1354592;298663;0;0;233761;58875;0;0;125873;2071764;1155;0;25874;0;1674;0;78;0;0;29767;0;0;0;0;0;0;0;8765;925;9863;11680;0;0;0;43758;387;237;6535;0;986;72; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1986";12184;"N3";78;2020;2806007;0;0;66208;62613;67827;141;141;141;0;1797538;0;1797538;0;0;0;355064;732390;2529928;2806007;2743394;2597755;2005;0;0;2806007;0;0;0;0;0;0;0;0;0;141;85;56;0;0;0;0;0;85;56;141; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;261426;115900;0;0;135654;2665582;0;0;2636;0;2989;0;0;0;0;33999;0;0;0;1807;0;9400;0;0;400;8768;127;590;2901;0;0;100;788;0;0;1703;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"1987";12185;"H1";52;2020;4574572;0;20137;177304;110675;499184;224;224;0;2634465;2666344;0;0;31879;667803;0;0;1378912;4045256;4574572;4463897;4544440;2005;0;837087;3737485;0;0;0;217;105;112;0;0;0;0;0;0;0;0;5;2;3;108;116;224; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2634465;667803;0;0;583671;109309;80756;0;499184;4607067;0;0;19035;0;22782;0;33915;9006;0;10103;0;0;0;0;0;900;0;1344;0;688;55816;0;0;1974;0;0;298;275;21168;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
