"";"idnoremp";"Seccion20";"Division";"periodo";"intio";"pottcag";"gppgpa";"ocgtot";"CONINTER";"OTROSG";"PEROCU";"PEREMU";"PMISION";"SULPERM";"SULSAL";"SULTEMP";"SULMISION";"SULAPRENDIZ";"PRESPERM";"PRESTEMP";"PRESMISION";"PRESTA";"REMU";"PROBRU";"VALAGRE";"TOTG";"idaio";"imesetot";"inoio";"insertot";"potpsfr";"pompsfr";"pohpsfr";"potperm";"pomperm";"pohperm";"pottcde";"pomtcde";"pohtcde";"pottmoe";"pomtmoe";"pohtmoe";"pomtcag";"pohtcag";"potpau";"pompau";"pohpau";"pomtot";"pohtot";"pottot";"pompsfr1";"pohpsfr2";"pompsfr3";"pohpsfr4";"pompsfr5";"pohpsfr6";"pomperm1";"pohperm2";"pomperm3";"pohperm4";"pomperm5";"pohperm6";"pomtcde1";"pohtcde2";"pomtcde3";"pohtcde4";"pomtcde5";"pohtcde6";"pomtcag1";"pohtcag2";"pomtcag3";"pohtcag4";"pomtcag5";"pohtcag6";"pomtdhc";"pohtdhc";"pomtmad";"pohtmad";"pompau1";"pohpau2";"pomtot1";"pohtot2";"pomtot3";"pohtot4";"pomtot5";"pohtot6";"ththca";"thtmas";"gppsi";"gpper";"gpppsp";"gpppst";"gsppt";"gppcpo";"gppano";"gppavo";"gpppta";"gppgpn";"gpptpot";"ocgrps";"gmesetot";"gsptot";"ocgrc";"ocgid";"occree";"ocgoi";"ocgpc";"ocgog";"ocgtg";"ocgamc";"ocgtgno";"gouts";"ocgsv";"ocgee";"ocgar";"ocgca";"ocgse";"ocgsp";"ocgco";"ocgfa";"ocgpp";"ocgnr";"ocggv";"ocgct";"ocggr";"ocgup";"ocgcl";"ocgusi";"ocgspe";"ocgsgn";"gppsied1";"gppsied2";"gppsied3";"gppered1";"gppered2";"gppered3";"gpppsp1";"gpppsp2";"gpppsp3";"gpppsted1";"gpppsted2";"gpppsted3";"gppcpoed1";"gppcpoed2";"gppcpoed3";"gppanoed1";"gppanoed2";"gppanoed3";"gppavoed1";"gppavoed2";"gppavoed3";"gppdocen";"gppgpaed1";"gppmoni";"gppgpned1";"gppgpned2";"gppgpned3";"gpptpoted1";"gpptpoted2";"gpptpoted3";"opcomex"
"1";10001;"I1";55;2020;1278418;0;7660;614854;586155;30200;35;35;0;215200;361890;139030;0;7660;54487;30355;0;196994;558884;1278418;692263;589084;1992;0;7793;1270625;0;0;0;19;9;10;15;6;9;0;0;0;0;0;1;1;0;16;19;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;215200;54487;0;0;85256;26896;0;0;30200;589084;147458;0;7500;0;16299;0;8044;0;0;0;0;0;0;15470;6891;27275;3684;4209;49545;28452;9450;0;70501;0;2641;0;11620;2461;5000;155441;42913; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"2";10002;"I1";55;2020;1567963;0;7668;1076676;1016381;4200;40;39;0;105889;588442;474885;0;7668;23105;100897;0;325584;914026;1550361;533980;918226;1994;0;690020;877943;1;0;1;3;3;0;35;15;20;0;0;0;0;0;1;0;1;18;22;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;105889;23105;0;0;170370;31212;0;0;4200;918226;195695;0;2800;0;685;0;51349;0;0;0;0;0;0;98448;0;116860;0;615;88627;15555;7950;0;165954;0;54212;5786;6833;1619;4940;221604;37144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"3";10003;"I1";55;2020;6118734;40;7900;5265687;4939343;152559;59;59;0;940476;948376;0;0;7900;207015;0;0;356083;1304459;6118734;1179391;1457018;1999;0;1964503;4154231;0;0;0;58;19;39;0;0;0;0;0;0;19;21;1;0;1;38;61;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;940476;207015;0;0;107525;41543;0;852644;152559;1457018;1027205;0;82301;14567;74248;0;195254;26916;0;0;0;0;0;25547;141222;594345;0;73588;152332;140513;46774;7304;595822;3630;48968;142563;28222;4189;8993;844994;133546; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3
"4";10004;"I1";55;2020;2744765;0;0;2284601;2226380;0;15;15;0;198318;198318;0;0;0;43609;0;0;90765;289083;2744765;518385;289083;2009;0;509216;2235549;0;0;0;15;7;8;0;0;0;0;0;0;0;0;0;0;0;7;8;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;198318;43609;0;0;44665;7933;0;0;0;294525;90051;0;21345;0;17826;0;19092;0;0;1345980;0;0;5962;13427;0;12378;0;4327;132456;15789;0;67289;119678;0;225672;0;5209;12450;21324;154346;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"5";10005;"I2";56;2020;14030451;166;8690;11550617;10975835;236666;48;48;0;1262565;1271255;0;0;8690;577198;0;0;949855;2221110;14030451;3054616;2457776;1957;0;12604791;1425660;0;0;0;48;26;22;0;0;0;0;0;0;56;110;0;0;0;82;132;214; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1262565;577198;0;0;271789;122947;0;3006580;236666;2479855;769791;0;149016;9551;35213;0;343837;124612;0;2021678;0;0;0;2071332;0;0;42295;12649;154906;193716;476145;0;1326601;1493;0;0;10164;26643;31119;691352;51924; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"6";10006;"I2";56;2020;111800965;0;98181;74885606;59483428;228353;637;637;0;234799;9836987;9504007;0;98181;51420;2342490;0;3999671;13836658;101425214;41941786;14065011;1989;11529912;0;100271053;0;0;0;4;2;2;616;261;355;0;0;0;0;0;17;3;14;266;371;637; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;234799;51420;0;0;1200980;404781;0;0;228353;14065011;48925920;10375751;560034;0;886104;0;3809196;230142;0;70024;0;0;0;794584;953268;589803;49;503217;132152;174194;3723643;8740;949526;177402;0;6828;115075;252601;817323;582063;247967; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"7";10007;"I2";56;2020;597624;0;14754;359012;336444;0;14;14;0;179352;275155;81049;0;14754;37664;24421;0;108338;383493;597624;261180;383493;1996;0;0;597624;0;0;0;4;4;0;8;4;4;0;0;0;0;0;2;2;0;10;4;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;179352;37664;0;0;36044;10209;0;0;0;383493;138147;0;4095;3239;7053;0;13586;0;0;5020;0;0;0;33317;0;0;209;2656;13386;5703;18;378;14506;0;0;0;975;0;1568;64003;51153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"8";10008;"I2";56;2020;8573901;3;42127;5817631;5632366;53554;122;122;0;1857220;1899347;0;0;42127;427160;0;0;769470;2668817;8573901;2941535;2722371;1998;0;0;8573901;0;0;0;117;109;8;0;0;0;0;0;0;3;0;5;3;2;115;10;125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1857220;427160;0;0;257949;84361;0;52754;53554;2722371;3933066;0;138307;0;99829;0;70201;0;0;34750;0;0;0;51282;281;373526;126913;24559;83617;24611;67398;0;138447;17390;0;1565;47087;0;26704;412798;92546; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"9";10012;"H1";52;2020;302974;0;0;182398;172717;1130;3;3;0;52200;52200;0;0;0;12528;0;0;24104;76304;302974;130257;77434;1993;0;0;302974;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;52200;12528;0;0;8782;2543;251;0;1130;77434;121395;0;15818;0;2531;0;6791;0;0;563;0;0;0;0;2191;7060;0;265;300;3403;600;0;1646;366;0;173;197;17348;1747;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"10";10013;"H1";52;2020;21883926;6;25705;16290467;16123181;225716;33;33;0;658833;684538;0;0;25705;180926;0;0;414745;1099283;21883926;5760745;1324999;2003;0;0;21883926;0;0;0;30;6;24;0;0;0;0;0;0;0;6;3;1;2;7;32;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;658833;180926;0;0;120605;28781;84433;173245;225716;1324999;14884297;0;772174;0;126484;0;37838;0;0;4129;0;0;0;0;83302;0;0;131939;0;16070;0;0;54791;0;0;0;423;0;2536;3239;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"11";10015;"H1";52;2020;23975057;0;25103;6871660;6046043;267145;49;49;0;2171595;2196698;0;0;25103;536239;0;0;1008084;3204782;23975057;17929014;3471927;1974;0;0;23975057;0;0;0;46;6;40;0;0;0;0;0;0;0;0;3;3;0;9;40;49; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2171595;536239;0;0;481634;42347;0;0;267145;3524063;1438503;0;833460;0;239674;0;547821;0;0;18861;0;0;0;839147;0;131000;39201;567301;106663;84324;26151;0;1010351;43893;0;27398;36754;26148;167342;289347;398321; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"12";10017;"H1";52;2020;181005802;127;188905;122909934;121248313;5055803;436;436;0;15574167;15763072;0;0;188905;3240798;0;0;7691347;23454419;181005802;59757489;28510222;1992;0;494951;180510851;0;0;0;415;109;306;0;0;0;0;0;0;31;96;21;6;15;146;417;563; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;15574167;3240798;0;0;2523659;758197;1168693;3627135;5055803;28510222;104629839;0;1583927;0;1040490;0;321397;184508;0;293017;0;0;0;1203362;55326;0;276420;1890909;593380;308585;9489;119713;3462949;91402;3371;189571;91517;35555;187766;2710306;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3
"13";10018;"H1";52;2020;8752074;1;0;3938211;3821448;18679;9;9;0;427101;427101;0;0;0;97616;0;0;180969;608070;8752074;4930626;626749;2002;0;0;8752074;0;0;0;9;3;6;0;0;0;0;0;0;1;0;0;0;0;4;6;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;427101;97616;0;0;61105;22248;0;40106;18679;626749;2460914;0;370495;0;108583;0;0;0;0;0;0;0;140081;0;0;175995;0;174154;2061;20978;0;0;392473;0;0;0;4486;0;0;47885;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"14";10019;"N2";79;2020;1089071;0;7245;762963;699475;117676;48;48;0;1141272;1148517;0;0;7245;240305;0;0;480804;1629321;1089071;389596;1746997;1970;0;23306;1065765;0;0;0;46;34;12;0;0;0;0;0;0;0;0;2;1;1;35;13;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1141272;240305;0;0;181028;59471;0;0;117676;1746997;0;0;39399;0;13606;0;43215;0;0;105589;0;0;0;104352;4773;46062;15834;4494;3772;111125;6466;42274;51809;35290;69907;0;9136;7898;8277;39685;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"15";10020;"N2";79;2020;1303082;0;8659;684828;338978;21732;40;40;0;776144;784803;0;0;8659;126444;0;0;232557;1017360;1068714;729736;1039092;1971;334812;0;968270;0;0;0;39;25;14;0;0;0;0;0;0;0;0;1;1;0;26;14;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;776144;126444;0;0;67757;38356;0;0;21732;1039092;0;234368;69981;0;12562;0;96203;0;0;7093;0;0;0;0;0;52105;29850;48122;3091;44615;10948;5871;12948;1194;22469;16031;1766;0;0;15611;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"16";10021;"H1";52;2020;8373866;1;13284;1565470;1420753;572609;49;49;0;2511558;2553302;28460;0;13284;552543;4963;0;1225188;3778490;8373866;6953113;4351099;1989;0;0;8373866;0;0;0;46;19;27;1;0;1;0;0;0;0;1;2;1;1;20;30;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2511558;552543;0;0;399929;122545;145208;71308;572609;4351099;0;0;77974;0;120004;0;12210;0;0;0;0;0;33676;87141;121807;225298;27859;79570;6891;179084;794;10935;104452;119649;1452;14078;33241;74166;115032;48527;322; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"17";10022;"H1";52;2020;10160859;0;25851;3211521;3052759;458320;146;146;0;3541095;3566946;0;0;25851;789784;0;0;1421895;4988841;10160859;7108100;5447161;1994;0;212100;9948759;0;0;0;141;62;79;0;0;0;0;0;0;0;0;5;1;4;63;83;146; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;3541095;789784;0;0;485958;146153;0;0;458320;5447161;1462779;0;51261;0;92053;0;51166;0;0;0;0;0;0;68694;0;150115;44577;51608;4980;632422;132747;9633;150073;7169;0;127469;33534;811;59879;80551;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"18";10023;"H1";52;2020;3544637;0;30600;620206;553976;92877;76;76;0;1636697;1667297;0;0;30600;360073;0;0;650064;2317361;3544637;2990661;2410238;1994;0;0;3544637;0;0;0;73;32;41;0;0;0;0;0;0;0;0;3;2;1;34;42;76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1636697;360073;0;0;210713;79278;0;0;92877;2410238;0;0;144000;0;14727;0;47362;0;0;21571;0;0;0;0;0;66948;14386;31259;5734;29477;41335;0;21889;3630;8020;113497;31830;0;0;24495;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"19";10024;"H1";52;2020;2946374;0;0;929528;860948;125381;69;69;0;758936;767544;0;0;8608;157923;0;0;306423;1073967;2946374;2085426;1199348;1995;0;0;2946374;0;0;0;65;40;25;0;0;0;0;0;0;0;0;0;0;0;42;27;69; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;758936;157923;0;0;112042;36458;0;0;125381;1199348;0;0;86576;0;34684;0;26074;0;0;55218;0;0;0;8908;0;207330;34125;11340;3138;68133;0;0;14700;2504;0;287423;27645;7125;8086;44015;2504; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"20";10025;"H1";52;2020;5088241;0;16656;1665916;1494067;64518;44;44;0;1000384;1017040;0;0;16656;235137;0;0;428904;1445944;5088241;3594174;1510462;1967;0;92156;4996085;0;0;0;42;27;15;0;0;0;0;0;0;0;0;2;2;0;29;15;44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1000384;235137;0;0;152961;40806;0;0;64518;1510462;0;0;312462;0;27605;0;98667;33642;0;313972;0;0;0;104821;93342;11418;41687;18344;9104;43356;296773;0;56345;4755;0;120000;39217;10025;11001;18384;996; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"21";10026;"J3";61;2020;1236701;0;19440;728069;712601;17800;21;20;0;0;268960;249520;0;19440;0;54894;0;104047;373007;1157638;445037;390807;1998;0;0;1236701;1;0;1;0;0;0;18;5;13;0;0;0;0;0;2;1;1;6;15;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;42874;6279;0;0;17800;390807;520590;0;0;0;11113;0;2415;0;0;0;0;0;0;0;19526;0;55177;1970;8047;5852;0;4560;418;0;0;0;10759;28094;1071;58477;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"22";10027;"J3";61;2020;175576638;41;103404;86015776;82236398;241974;214;214;0;9020070;9123474;0;0;103404;1921779;0;0;4197631;13321105;175576638;93340240;13563079;2001;0;0;175576638;0;0;0;204;52;152;0;0;0;0;0;0;10;31;10;6;4;68;187;255; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;9020070;1921779;0;0;1365688;541843;368321;594321;241974;13563079;36850443;0;23643348;0;1648054;0;1144911;779804;0;3815379;0;0;693972;157042;13526;128718;79095;358023;11433;378811;63118;250820;14843382;178920;0;41275;8570;119591;97672;115548;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"23";10029;"I1";55;2020;7361168;2;29004;3914205;3493069;252129;165;165;0;2445210;2474214;0;0;29004;537946;0;0;1016874;3491088;7361168;3868099;3743217;2005;0;3436207;3924961;0;0;0;161;59;102;0;0;0;0;0;0;0;2;4;2;2;61;106;167; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2445210;537946;0;0;368422;110506;0;43262;252129;3743217;926987;0;76298;68119;113696;0;276999;6417;0;3397;0;0;0;196900;8716;0;10844;56978;180379;123022;6236;70069;456519;0;130603;21522;25046;4614;32872;953278;121432; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"24";10030;"LN1";77;2020;2420468;1;12438;909310;776278;73958;33;33;0;533999;620871;74434;0;12438;151172;18816;0;334918;955789;2371678;1595400;1029747;1992;61092;325939;2033437;0;0;0;24;7;17;7;0;7;0;0;0;0;1;2;0;2;7;27;34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;533999;151172;0;0;127234;37696;0;25889;73958;1029747;228287;48790;135752;16418;23083;0;57422;0;0;26629;0;0;0;0;0;0;13010;17841;6424;17083;5397;6935;178699;11378;0;1180;3915;54365;10677;20136;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"25";10031;"M1";71;2020; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0
"26";10033;"M1";70;2020;8847988;0;7111;26440333;11966879;203943;16;16;0;1171695;1178806;0;0;7111;292923;0;0;627407;1806213;8847988;-3118891;2010156;1996;0;80652;8767336;0;0;0;15;9;6;0;0;0;0;0;0;0;0;1;1;0;10;6;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1171695;292923;0;0;210503;82572;41409;0;203943;2010156;5802829;0;4669759;0;12603;0;2950385;11498040;0;299095;0;0;264162;110982;109725;67840;63687;317461;4873;45584;86;0;72097;101954;0;0;4237;19638;0;25296;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"27";10034;"M1";71;2020;9645751;0;34552;5200643;2940227;115694;234;234;0;0;2259439;2224887;0;34552;0;1198764;0;1745576;4005015;9645751;6705524;4120709;1993;0;0;9645751;0;0;0;0;0;0;229;8;221;0;0;0;0;0;5;1;4;9;225;234; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;458993;87819;0;0;115694;4120709;2073836;0;104254;0;98849;0;2253966;0;0;107075;0;0;0;0;546;49743;997;66759;418;28473;80261;0;227011;0;0;34744;7797;163614;0;1722;675; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"28";10035;"M1";71;2020;8036503;0;61710;1150679;1040889;759000;191;190;0;1243831;3738121;2432580;0;61710;276745;505147;0;1436147;5174268;8036503;6995614;5933268;1996;0;0;8036503;1;0;1;97;15;82;85;28;57;0;0;0;0;0;8;8;0;51;140;191; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1243831;276745;0;0;507378;146877;0;0;759000;5933268;312807;0;24037;0;62398;0;40291;0;0;367566;0;0;1008;0;33238;0;4914;86448;6322;3639;4908;0;85758;17194;0;0;8646;75443;0;15176;886; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"29";10036;"M1";71;2020;1104393;0;0;340512;354563;35447;13;13;0;250552;250552;0;0;0;79334;0;0;142911;393463;1104393;749830;428910;2000;0;0;1104393;0;0;0;13;2;11;0;0;0;0;0;0;0;0;0;0;0;2;11;13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;250552;79334;0;0;52683;14023;0;0;35447;432039;0;0;78000;0;0;0;27545;0;0;59478;0;0;0;1324;2019;49470;6179;7633;1245;34833;3724;0;16720;2269;0;73849;2314;10474;2014;5812;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"30";10038;"M1";71;2020;14569667;0;18809;6398560;6118534;188826;60;60;0;2054120;2072929;0;0;18809;451906;0;0;849268;2922197;14569667;8451133;3111023;2001;0;0;14569667;0;0;0;57;10;47;0;0;0;0;0;0;0;0;3;1;2;11;49;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2054120;451906;0;0;288958;108404;0;0;188826;3111023;0;0;796051;0;9983;0;219074;0;0;4748151;0;0;276521;2179;5382;47346;3395;46577;659;39564;11067;0;49089;72286;0;0;6740;13788;32521;18187;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"31";10040;"M1";70;2020;149414688;109;292821;55543521;51869792;1310384;1931;1931;0;14566588;54754732;39647642;0;540502;2395468;5872997;0;18569168;73323900;149518811;97649019;74634284;2005;0;0;149414688;0;0;0;355;72;283;1493;399;1094;0;0;0;33;76;48;25;23;554;1486;2040; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;14566588;2395468;0;0;8132134;2168569;0;2436270;1310384;74634284;0;0;15156254;0;2062217;0;82554;1182723;0;11648127;0;0;0;372979;11780143;119076;13770;671497;42554;769591;319106;36754;1228367;1906174;0;1927;958385;2309697;2138165;305890;1301; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"32";10041;"N3";78;2020;4184181;0;0;141277;65036;39485;132;132;130;50600;2797008;0;2746408;0;11886;0;599629;1128348;3925356;4184181;4119145;3964841;1989;0;0;4184181;0;0;0;2;1;1;0;0;0;130;32;98;0;0;0;0;0;33;99;132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;50600;11886;0;0;404433;112400;0;0;78970;4004326;0;0;16802;0;4729;0;18272;52753;0;3045;0;0;0;0;0;13400;0;6060;1051;1842;4325;3825;7010;0;0;0;1010;2010;3055;2088;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"33";10043;"N3";78;2020;6163059;0;0;1004557;966392;320097;308;308;305;84642;3954140;0;3869498;0;15036;0;722408;1401319;5355459;6163059;5196667;5675556;1990;0;0;6163059;0;0;0;3;3;0;0;0;0;305;94;211;0;0;0;0;0;97;211;308; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;84642;15036;0;0;507970;155905;0;0;640194;5995653;0;0;67776;0;4478;0;24610;0;0;16458;0;0;0;0;819798;19124;878;2512;168;0;4125;0;507;0;1837;1912;1189;0;0;39185;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
