"idnoremp","Seccion23","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gpper","gpppsp","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","ocgoi","ocgpc","ocgtg","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3"
10001,"I1",55,2023,3456999,0,20880,1728542,1572318,0,39,39,0,243230,730327,466217,0,20880,49551,93621,0,251377,981704,3456999,1884681,981704,1992,0,993808,2463191,0,0,0,10,4,6,27,15,12,0,0,0,0,0,2,1,1,20,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243230,49551,108112,93,0,0,0,981704,502621,0,48268,0,40875,105032,0,0,0,22826,0,65609,21099,17764,149432,84045,3730,0,193669,0,95918,0,12784,1095,8883,261404,93488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"I1",55,2023,7226625,0,16530,2570638,2515722,47355,37,36,0,112755,758497,629212,0,16530,24806,157303,0,307471,1065968,7226625,4710903,1113323,1994,0,4305608,2921017,1,0,1,3,3,0,32,19,13,0,0,0,0,0,1,0,1,22,15,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112755,24806,95762,29600,0,0,47355,1113323,888943,0,158117,0,0,40081,0,0,0,120121,13500,42907,0,0,215335,13441,8948,70395,207443,2468,226300,0,16991,2746,8297,434207,100398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,"I1",55,2023,13894282,48,40109,9447266,9170450,27796,77,77,0,1702968,1743077,0,0,40109,390832,0,0,651747,2394824,13894282,4723832,2422620,2015,0,5737630,8156652,0,0,0,73,41,32,0,0,0,0,0,0,25,23,4,2,2,68,57,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1702968,390832,194330,66585,0,1232998,27796,2422620,2822199,0,81670,821,165248,60732,0,47576,0,32141,242590,1435162,57027,57509,375316,35517,47895,14749,591186,19528,382122,140593,72613,0,11692,1337866,182516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,"I1",55,2023,13249524,0,0,6939563,6881707,22867,139,139,0,1197114,2155704,958590,0,0,263365,210890,0,1056294,3211998,13249524,6367817,3234865,2017,0,2691238,10558286,0,0,0,79,24,55,60,18,42,0,0,0,0,0,0,0,0,42,97,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197114,263365,388026,194013,0,0,22867,3234865,5479853,0,28490,0,28396,15588,0,444997,0,504,0,58385,0,11175,0,4779,21306,0,419871,3185,34657,0,3224,344716,20637,0,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,"I2",56,2023,46060505,137,54327,40827023,39708187,692453,119,119,0,2614940,2669267,0,0,54327,1061023,0,0,1823198,4492465,46060505,6352318,5184918,1957,0,37134656,8925849,0,0,0,115,50,65,0,0,0,0,0,0,60,77,4,4,0,114,142,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614940,1061023,565747,239880,5112,4970642,692453,5233482,4620888,0,715843,27303,176263,401643,244228,17569174,0,3566585,0,19023,48012,4382,490586,199058,2318785,0,3179269,3818,0,0,29096,69867,114779,1851121,206658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,"I2",56,2023,136631289,0,119013,86067126,80617706,1392232,998,998,0,426348,19736491,19079082,0,231061,92530,4883411,0,8613571,28350062,134634417,54016711,29742294,1989,2426334,0,134204955,0,0,0,4,1,3,974,468,506,0,0,0,0,0,9,2,7,474,524,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426348,92530,2901801,735829,0,0,1392232,29742294,57760670,1996872,3246782,0,1194556,1684160,375749,518773,0,365169,1746004,1489341,0,543558,367843,288190,7473691,8892,3285328,805589,0,0,93051,256176,486817,1300151,779764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"I2",56,2023,31484039,0,92617,21665806,21052349,350571,193,193,0,4264632,4357249,0,0,92617,1029188,0,0,1864967,6222216,31484039,10431690,6572787,1998,0,0,31484039,0,0,0,186,175,11,0,0,0,0,0,0,0,0,7,4,3,179,14,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4264632,1029188,636507,199272,0,0,350571,6572787,15324539,0,258379,0,369346,188864,0,771219,0,162663,15491,1383222,305272,39376,259232,20569,194343,38624,292790,25546,446125,8438,103095,342,106725,1086988,264618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,"H1",52,2023,9924057,6,0,8764887,8617453,10305,15,15,0,360438,371487,0,0,11049,91264,0,0,214544,586031,9924057,1306604,596336,2003,0,0,9924057,0,0,0,14,5,9,0,0,0,0,0,0,1,5,0,0,0,7,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360438,91264,71605,15103,36890,254520,10305,596654,7580365,0,584727,0,117773,26038,1625,24276,0,0,0,37944,0,62624,0,4265,0,0,64638,0,0,0,340,0,3094,2658,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,"H1",52,2023,32485682,0,50547,12192791,10971484,103140,75,75,0,3704767,3755314,0,0,50547,1076233,0,0,2085238,5840552,32485682,21514198,5943692,1974,0,0,32485682,0,0,0,65,15,50,0,0,0,0,0,0,0,0,10,5,5,20,55,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3704767,1076233,699865,309140,0,0,103140,5943692,1585869,0,1162675,0,362663,595081,180503,0,0,1150927,0,188508,52150,618659,141979,235351,207,0,3525128,179668,0,12369,81820,116116,224877,698213,1080028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,"H1",52,2023,254832386,170,220922,144877745,140817704,6442079,450,450,0,21118856,21339778,0,0,220922,4458327,0,0,10668725,32008503,254832386,114014682,38450582,1992,0,1170567,253661819,0,0,0,429,125,304,0,0,0,0,0,0,42,128,21,12,9,179,441,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21118856,4458327,3481788,1030047,1698563,6480853,6442079,38450582,112210497,0,4865651,0,3006183,350056,529451,1158063,0,1471530,113446,48251,315527,2493418,1049481,330120,90872,229540,4542097,717438,4655,757179,119465,38120,236269,3719583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
