id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10429,2023,H1,auxiliares del transporte,141276673,331267,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
10213,2023,H1,auxiliares del transporte,141276673,331267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13851,2023,H1,auxiliares del transporte,141276673,331267,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
10439,2023,H1,auxiliares del transporte,34597790,180809,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13853,2023,H1,auxiliares del transporte,34597790,180809,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
15179,2023,H1,auxiliares del transporte,34597790,180809,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14582,2023,H1,auxiliares del transporte,121736197,4095057,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0
18467,2023,H1,auxiliares del transporte,121736197,4095057,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
12366,2023,H1,auxiliares del transporte,121736197,4095057,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
12790,2023,H1,auxiliares del transporte,472037682,3922955,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12283,2023,H1,auxiliares del transporte,472037682,3922955,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0
14588,2023,H1,auxiliares del transporte,472037682,3922955,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
15102,2023,H1,auxiliares del transporte,128445651,1688754,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14604,2023,H1,auxiliares del transporte,128445651,1688754,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1
19789,2023,H1,auxiliares del transporte,128445651,1688754,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
17868,2023,H1,auxiliares del transporte,69099265,345770,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14601,2023,H1,auxiliares del transporte,69099265,345770,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
13233,2023,H1,auxiliares del transporte,69099265,345770,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
18549,2023,H2,postales y correos,99311005,105706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18375,2023,H2,postales y correos,99311005,105706,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
