id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10001,2019,I1,alojamiento,2287702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,2019,I1,alojamiento,5020785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,2019,I1,alojamiento,15309856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,2019,I1,alojamiento,8978494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,2019,I2,expendio de alimentos,29103165,227327,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
10006,2019,I2,expendio de alimentos,103879862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,2019,I2,expendio de alimentos,1356241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,2019,I2,expendio de alimentos,20139069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,2019,H1,auxiliares del transporte,35200650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,2019,H1,auxiliares del transporte,12650815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,2019,H1,auxiliares del transporte,268590426,1161494,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10018,2019,H1,auxiliares del transporte,7400310,20638,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10019,2019,N2,agencias de viajes,4221926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,2019,N2,agencias de viajes,3718166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,2019,H1,auxiliares del transporte,5930705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,2019,H1,auxiliares del transporte,10054924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,2019,H1,auxiliares del transporte,2801586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,2019,H1,auxiliares del transporte,2820991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,2019,H1,auxiliares del transporte,2891009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026,2019,J3,actividades de telecomunicaciones,1617514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,2019,J3,actividades de telecomunicaciones,82902482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,2019,J3,actividades de telecomunicaciones,83634663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,2019,I1,alojamiento,15468364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10030,2019,LN,inmobiliarias y alquileres,3141903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,2019,N3,obtencion y suministro de personal,134331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033,2019,M1,"actividades profesionales, cientificas",78514855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
