id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
14399,2022,I1,alojamiento,10046723,7589,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
10400,2022,I2,expendio de alimentos,377789771,859882,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
13828,2022,I2,expendio de alimentos,377789771,859882,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
10388,2022,I2,expendio de alimentos,377789771,859882,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
10005,2022,I2,expendio de alimentos,35821281,335893,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10396,2022,I2,expendio de alimentos,35821281,335893,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
20472,2022,I2,expendio de alimentos,35821281,335893,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
13031,2022,I2,expendio de alimentos,61066780,61783,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17696,2022,I2,expendio de alimentos,61066780,61783,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
12973,2022,I2,expendio de alimentos,61066780,61783,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17918,2022,I2,expendio de alimentos,42004642,282763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115,2022,I2,expendio de alimentos,42004642,282763,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
20467,2022,I2,expendio de alimentos,42004642,282763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21052,2022,I2,expendio de alimentos,8156807,9133,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
17920,2022,I2,expendio de alimentos,8156807,9133,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15031,2022,I2,expendio de alimentos,8156807,9133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13837,2022,I2,expendio de alimentos,220627734,258594,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
15243,2022,I2,expendio de alimentos,220627734,258594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15193,2022,I2,expendio de alimentos,220627734,258594,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10406,2022,I2,expendio de alimentos,60710422,36024,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
14298,2022,I2,expendio de alimentos,60710422,36024,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
18703,2022,I2,expendio de alimentos,60710422,36024,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
17776,2022,J0,edicion,27137634,15751,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
17648,2022,J0,edicion,27137634,15751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17653,2022,J0,edicion,27137634,15751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17650,2022,J0,edicion,15778526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17561,2022,J0,edicion,83650149,109000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17613,2022,J0,edicion,83650149,109000,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
17607,2022,J0,edicion,83650149,109000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
17655,2022,J0,edicion,19760941,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18618,2022,J0,edicion,19760941,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19867,2022,J0,edicion,19760941,27077,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10892,2022,J1,"produccion, distribucion y exhibicion",41034180,7699,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
11430,2022,J1,"produccion, distribucion y exhibicion",41034180,7699,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10562,2022,J1,"produccion, distribucion y exhibicion",41034180,7699,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
