id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10001,2021,I1,alojamiento,1682975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,2021,I1,alojamiento,1710641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,2021,I1,alojamiento,6854236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,2021,I1,alojamiento,6000326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,2021,I2,expendio de alimentos,22229918,171785,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10006,2021,I2,expendio de alimentos,71438456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,2021,I2,expendio de alimentos,831639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,2021,I2,expendio de alimentos,14527370,10504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10013,2021,H1,auxiliares del transporte,17301519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,2021,H1,auxiliares del transporte,9562698,25000,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
10017,2021,H1,auxiliares del transporte,169410655,1044270,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
10018,2021,H1,auxiliares del transporte,4559380,34699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10019,2021,N2,agencias de viajes,2365205,465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10020,2021,N2,agencias de viajes,1099116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,2021,H1,auxiliares del transporte,6287208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,2021,H1,auxiliares del transporte,9028558,16503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10023,2021,H1,auxiliares del transporte,3226363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,2021,H1,auxiliares del transporte,2337115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,2021,H1,auxiliares del transporte,3429871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026,2021,J3,actividades de telecomunicaciones,1043000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,2021,J3,actividades de telecomunicaciones,111483475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,2021,I1,alojamiento,10580896,3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
